sample_id	group	CPM	log2CPM
AM324	IAV	6.46808524936359	2.90073839624812
AM323	IAV	5.13464801431608	2.61698056922338
AM327	IAV	5.05496686721967	2.59811906551355
AM326	IAV	4.79412532052028	2.53459088884336
AM325	IAV	4.49028983295868	2.45688231125873
AM310	IAV	4.47036796636495	2.45163787970799
AM311	IAV	3.75447801629498	2.24928695945814
AM314	IAV	2.94810997932701	1.98116217835047
AM313	IAV	2.73839343046094	1.90241840704632
AM312	IAV	2.70166638782801	1.88817487837596
AM316	Mock	8.48847138655293	3.24617568464668
AM322	Mock	6.84875802053771	2.97246438147308
AM321	Mock	6.14483597244218	2.8369008910327
AM319	Mock	6.13236435080759	2.8343804037028
AM315	Mock	5.12200468824406	2.61400414968422
AM317	Mock	4.37287731590564	2.42569489597258
AM318	Mock	3.81691694949074	2.26811005002189
AM320	Mock	3.73840323408394	2.24440097592292
AM309	Mock	2.74620604408152	1.90543025104912
AM308	Mock	2.58872745689063	1.84347236296384
AM307	Mock	2.51975170366712	1.81547365939588
