gene_symbol	pathway	trend_slope_GSE42639	trend_FDR_GSE42639	log2FC_100_vs_TX91	FDR_100_vs_TX91	func_class
Cx3cr1	Chemotaxis	-0.796064804182489	0.00109190409283035	-2.38016145509736	1.02120723018076e-05	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Membrane
Cd177	Chemotaxis	-0.713807437811875	0.00421320853589835	-2.56753278546108	8.81449796891741e-06	ImmuneReg;SignalTransduction;CellCommunication;Membrane
Cd209a	Chemotaxis	-0.494030772482081	0.00238060227805547	-1.69259707964442	0.000106753463964756	ImmuneReg;Membrane
Rnase2b	Chemotaxis	-0.493676533381089	0.00669648802887491	-1.63619050489226	0.000475830803156445	ImmuneReg;Secreted
Dock8	Chemotaxis	-0.315731944123724	0.00425535162649211	-1.06725316088165	9.42369285607925e-05	ImmuneReg;SignalTransduction;CellCommunication;Membrane
Il16	Chemotaxis	-0.244758874675413	0.00920717577593119	-0.813832993882103	0.000593266323608656	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Secreted;Membrane
Rin3	Chemotaxis	-0.239079948285338	0.0800772619275822	-0.731360644927177	0.0148112436537993	ImmuneReg;SignalTransduction;CellCommunication
Cx3cr1	AntiInflammation	-0.796064804182489	0.00109190409283035	-2.38016145509736	1.02120723018076e-05	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Membrane
Abcd2	AntiInflammation	-0.741665305131023	0.000368525353496362	-2.4121535169653	8.1323014134432e-06	InflammReg
Arrb1	AntiInflammation	-0.665918430641938	0.000561067393367804	-2.10684803127145	2.63566180281227e-05	InflammReg;SignalTransduction;CellCommunication;Membrane;TFReg
Klf2	AntiInflammation	-0.632456749924555	0.00084174075399392	-2.10175987880228	1.60256828849003e-05	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;TFReg
Cx3cr1	Homeostasis	-0.796064804182489	0.00109190409283035	-2.38016145509736	1.02120723018076e-05	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Membrane
Nfe2	Homeostasis	-0.76933719901662	0.00152925077814071	-2.7211866083151	2.03402529600059e-06	SignalTransduction;CellCommunication;TFReg
Arrb1	Homeostasis	-0.665918430641938	0.000561067393367804	-2.10684803127145	2.63566180281227e-05	InflammReg;SignalTransduction;CellCommunication;Membrane;TFReg
Klf2	Homeostasis	-0.632456749924555	0.00084174075399392	-2.10175987880228	1.60256828849003e-05	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;TFReg
Mbp	Homeostasis	-0.623304439624128	0.000103963999783421	-1.90124329181777	4.38383677634201e-06	InflammReg;SignalTransduction;CellCommunication;Membrane
Insr	Homeostasis	-0.623022452525613	0.000109194359806066	-1.95208331529181	3.29345735416106e-06	SignalTransduction;CellCommunication;Membrane;TFReg
Tmc6	Homeostasis	-0.511819253895303	0.0087831921311561	-1.75439969885432	0.000349511739278942	Membrane
Ampd3	Homeostasis	-0.485023610225973	0.00162990609559663	-1.63709189531336	4.98167253614214e-05	ImmuneReg
Dusp18	Homeostasis	-0.355191415731352	0.0247017300617709	-1.13703284748486	0.0020571709655404	
