cell	contrast	n_total	n_up	n_down
Mo	TX91_vs_Sham	373	321	52
Mo	PR8_0p6_vs_Sham	1317	783	534
Mo	PR8_10_vs_Sham	1551	864	687
Mo	PR8_100_vs_Sham	1788	965	823
Ne	TX91_vs_Sham	139	129	10
Ne	PR8_0p6_vs_Sham	555	424	131
Ne	PR8_10_vs_Sham	1099	676	423
Ne	PR8_100_vs_Sham	1193	800	393
Nh	TX91_vs_Sham	99	99	0
Nh	PR8_0p6_vs_Sham	520	365	155
Nh	PR8_10_vs_Sham	1211	719	492
Nh	PR8_100_vs_Sham	979	448	531
Am	TX91_vs_Sham	87	86	1
Am	PR8_0p6_vs_Sham	422	334	88
Am	PR8_10_vs_Sham	914	549	365
Am	PR8_100_vs_Sham	979	578	401
Ly	TX91_vs_Sham	77	77	0
Ly	PR8_0p6_vs_Sham	408	342	66
Ly	PR8_10_vs_Sham	349	305	44
Ly	PR8_100_vs_Sham	459	377	82
