gene	cell	contrast	logFC	AveExpr	P.Value	adj.P.Val	sig	direction
Acod1	Nh	TX91_vs_Sham	2.34028628773119	9.99760938951496	2.12568384807722e-10	3.09286999895235e-07	TRUE	up
Adamts4	Nh	TX91_vs_Sham	1.8854176387569	8.87941755724261	8.63840777865989e-07	0.000363836096045925	TRUE	up
Adar	Nh	TX91_vs_Sham	1.12668696169457	9.95694365576079	2.8293853909953e-05	0.00675885271386264	TRUE	up
Ahsp	Nh	TX91_vs_Sham	2.01282894575383	6.35474306252605	9.90333380326403e-05	0.0190967298218362	TRUE	up
Apod	Nh	TX91_vs_Sham	2.43438273305804	7.32579179472844	4.74141116843122e-06	0.00148796638726945	TRUE	up
Apol11b	Nh	TX91_vs_Sham	1.64035451937536	7.2714678226679	0.000316906000094155	0.0465328489129078	TRUE	up
Apol9a	Nh	TX91_vs_Sham	1.15653225498825	6.1812130906219	0.000211798019149129	0.034590074453896	TRUE	up
Apol9b	Nh	TX91_vs_Sham	2.09231542053133	7.75990708312876	7.8078566097261e-09	5.95070214469839e-06	TRUE	up
Bst2	Nh	TX91_vs_Sham	1.84150899926998	9.55508758031599	7.1290224550408e-08	4.30417397858786e-05	TRUE	up
Calhm6	Nh	TX91_vs_Sham	2.07371254015049	7.55026860744566	4.30840587964128e-06	0.00137912072207317	TRUE	up
Ccl2	Nh	TX91_vs_Sham	2.61584990226197	7.80055787768554	1.43149575170064e-06	0.000532816035022528	TRUE	up
Ccl4	Nh	TX91_vs_Sham	1.54925978002013	12.8730886198447	2.41071314479578e-06	0.000857410308499034	TRUE	up
Ccl9	Nh	TX91_vs_Sham	1.5615289306272	9.51291662626974	0.000106791602953251	0.0201082306501974	TRUE	up
Ccnd2	Nh	TX91_vs_Sham	1.1461703502189	9.79271988963412	1.85513332727133e-05	0.00463928264109026	TRUE	up
Ccr5	Nh	TX91_vs_Sham	2.18548440738889	9.09352063143719	8.62279993840656e-05	0.0172509891267746	TRUE	up
Cd274	Nh	TX91_vs_Sham	1.48942752355058	11.9513541482505	4.89832735633553e-06	0.00150764864111827	TRUE	up
Cd69	Nh	TX91_vs_Sham	1.48004329282177	9.16586576913827	0.000216554754225471	0.0350096852664511	TRUE	up
Cfb	Nh	TX91_vs_Sham	2.48238189079217	8.91152470908589	3.87819187124799e-09	3.44835893885134e-06	TRUE	up
Cmpk2	Nh	TX91_vs_Sham	1.78484183998014	10.6858816096099	4.21653799632497e-09	3.5518784542727e-06	TRUE	up
Coxfa4l3	Nh	TX91_vs_Sham	2.56240240654783	8.5089413789491	7.88768258026003e-08	4.4123715348467e-05	TRUE	up
Ctse	Nh	TX91_vs_Sham	1.62742777634061	5.64547927079986	3.15767350678234e-06	0.00105288675991774	TRUE	up
Cxcl10	Nh	TX91_vs_Sham	5.38366813913539	10.1992268752383	5.52020437012155e-17	8.83508709437954e-13	TRUE	up
Cxcl9	Nh	TX91_vs_Sham	2.36387532554056	8.28724610864467	1.72542573740074e-07	8.62982466471839e-05	TRUE	up
Daxx	Nh	TX91_vs_Sham	1.4482619791278	10.4262949530033	1.24676766788079e-06	0.000476496074074555	TRUE	up
Dhx58	Nh	TX91_vs_Sham	1.95550091010455	9.29310899023615	7.52804823559582e-10	8.60617228647936e-07	TRUE	up
Dio2	Nh	TX91_vs_Sham	1.3132738503144	6.95566675252985	0.000176890627149999	0.0298633144382667	TRUE	up
Eif2ak2	Nh	TX91_vs_Sham	1.49895885668073	10.291676642341	7.26102451870492e-08	4.30417397858786e-05	TRUE	up
Gbp10	Nh	TX91_vs_Sham	1.70305312219285	8.78340146979107	1.35522765198204e-07	7.23013952332419e-05	TRUE	up
Gbp2	Nh	TX91_vs_Sham	1.01502497366517	11.4358563101589	0.00033433152485447	0.0486452368663253	TRUE	up
Gbp3	Nh	TX91_vs_Sham	1.06694664801068	11.0149577150213	9.27003791526147e-05	0.0181796665176149	TRUE	up
Gbp4	Nh	TX91_vs_Sham	1.03692407763274	8.90135498194516	0.000208120477512153	0.0343398787895053	TRUE	up
Gbp5	Nh	TX91_vs_Sham	1.86291489289812	9.14388875022823	8.44222628674302e-07	0.000363836096045925	TRUE	up
Gbp6	Nh	TX91_vs_Sham	1.36717549751067	7.33714861549793	0.000148969243417132	0.0259157906618608	TRUE	up
Gbp7	Nh	TX91_vs_Sham	1.14954565129934	10.114751068425	0.000118755891878535	0.0218469890748959	TRUE	up
Gm12250	Nh	TX91_vs_Sham	1.67127319285399	7.01978997757899	7.67607564273845e-05	0.0157507167515422	TRUE	up
Gvin-ps2	Nh	TX91_vs_Sham	1.53041111315987	9.56536022713954	1.30167455664783e-05	0.003531068013415	TRUE	up
Gypa	Nh	TX91_vs_Sham	1.28610444849648	5.18877052673642	6.76531496780361e-06	0.00196870665563085	TRUE	up
Hap1	Nh	TX91_vs_Sham	1.17546684327361	10.06553583477	3.47490305991857e-05	0.00783321457380236	TRUE	up
Herc6	Nh	TX91_vs_Sham	1.22552532269452	8.23489956544952	8.17972191297793e-05	0.0165717024325584	TRUE	up
Ido1	Nh	TX91_vs_Sham	1.20825452656204	8.68903890234029	0.000201629475342799	0.0336154140923073	TRUE	up
Ifi204	Nh	TX91_vs_Sham	3.23597387981274	9.70539181979369	2.50527359381756e-12	8.01938077381002e-09	TRUE	up
Ifi207	Nh	TX91_vs_Sham	2.15066270206616	8.93562508243697	3.80912886841395e-06	0.00124418586814215	TRUE	up
Ifi213	Nh	TX91_vs_Sham	1.7704420454455	8.88535734876086	2.31220014515628e-06	0.000841062802800595	TRUE	up
Ifi27l2a	Nh	TX91_vs_Sham	3.20108394216795	10.3976453519627	9.0570346161435e-10	9.66385593542511e-07	TRUE	up
Ifi44	Nh	TX91_vs_Sham	2.05740792316684	10.9079034440015	1.48556900956894e-09	1.398619529303e-06	TRUE	up
Ifih1	Nh	TX91_vs_Sham	1.02726485534729	9.8434298231333	1.32758973945488e-05	0.00354134562999589	TRUE	up
Ifit2	Nh	TX91_vs_Sham	2.65465403554667	9.96218611617763	1.37493459357183e-10	2.4450920189019e-07	TRUE	up
Ifit3	Nh	TX91_vs_Sham	2.22234715912793	12.4367423106584	2.01145606305081e-10	3.09286999895235e-07	TRUE	up
Ifitm6	Nh	TX91_vs_Sham	2.20926186052049	8.29108413794414	1.12294642513684e-05	0.00315311535689738	TRUE	up
Igtp	Nh	TX91_vs_Sham	1.10962554429797	11.1320003599057	3.42152218828816e-05	0.00782306608907885	TRUE	up
Iigp1b	Nh	TX91_vs_Sham	1.84534164819762	9.30400420452169	5.11622620933323e-08	3.4118833533491e-05	TRUE	up
Iigp1c	Nh	TX91_vs_Sham	1.99119743983681	8.51067454436929	1.05142962230929e-06	0.000420703277626503	TRUE	up
Il6	Nh	TX91_vs_Sham	2.32910120330108	9.37164892474982	6.65537256513211e-06	0.00196870665563085	TRUE	up
Irf7	Nh	TX91_vs_Sham	2.97216582385892	9.30648010904049	9.35960025926345e-11	2.14000574499302e-07	TRUE	up
Irgm2	Nh	TX91_vs_Sham	1.01876603144191	11.229176133921	0.000240457483240288	0.0373902003614918	TRUE	up
Isg15	Nh	TX91_vs_Sham	3.29317784370182	9.91711667618675	1.03589255439958e-12	4.98224702604286e-09	TRUE	up
