ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw	sig_status
100041546	Ly6c2	lymphocyte antigen 6 family memberC2	22.1199044159637	1.65565217501304	0.254904605060986	3.15910609966787e-12	2.49980065666719e-08	4.01385022052714	3.15910609966787e-12	up
20304	Ccl5	C-C motif chemokine ligand 5	36.4657168746637	1.57841806583494	0.254300110082031	2.56684725057575e-12	2.49980065666719e-08	4.06850903684493	2.56684725057575e-12	up
14127	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	45.2527290754232	1.58636403713951	0.24765000527556	6.61327950669887e-11	3.48872538243388e-07	2.6506103613746	6.61327950669887e-11	up
17476	Mpeg1	macrophage expressed gene 1	48.25207865641	1.56736036603582	0.250223366959127	1.20188650758256e-10	4.75526396725041e-07	2.7409206783424	1.20188650758256e-10	up
17329	Cxcl9	C-X-C motif chemokine ligand 9	99.6674053026451	1.00936873556066	0.234106099354453	4.86345440156638e-10	1.53938058718379e-06	4.94254745627593	4.86345440156638e-10	up
69774	Ms4a6b	membrane-spanning 4-domains, subfamily A, member 6B	12.8880916346555	1.50904079623033	0.252772461401974	1.76692317382275e-09	3.49541576861485e-06	2.85563301382067	1.76692317382275e-09	up
13058	Cybb	cytochrome b-245, beta polypeptide	41.6075047692802	1.41362444963031	0.2539913454901	6.6945110201397e-09	1.1275491839338e-05	2.73979275288464	6.6945110201397e-09	up
15170	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	20.6908439589672	1.39856495497153	0.242790882165279	7.83712942200924e-09	1.1275491839338e-05	2.19485264926428	7.83712942200924e-09	up
231507	Plac8	placenta-specific 8	40.9716848968381	1.03810034377497	0.238119234293383	7.80569336205322e-09	1.1275491839338e-05	4.45854722204449	7.80569336205322e-09	up
14960	H2-Aa	histocompatibility 2, class II antigen A, alpha	294.371289936194	1.3440731843039	0.241832475179904	1.78064709623957e-08	2.34837674542395e-05	2.06915935171846	1.78064709623957e-08	up
22177	Tyrobp	TYRO protein tyrosine kinase binding protein	14.8502592252218	1.39455319692162	0.250766587341201	2.35774776977128e-08	2.87028586187694e-05	2.45746312014141	2.35774776977128e-08	up
14938	Gzma	granzyme A	36.2920616883154	0.892136436524681	0.228371700156262	2.71455415614443e-08	3.06860957679584e-05	4.80240327659748	2.71455415614443e-08	up
14129	Fcgr1	Fc receptor, IgG, high affinity I	18.6429130883831	1.33025767183982	0.255034702422046	3.51352329909438e-08	3.70700131543118e-05	2.99895274895839	3.51352329909438e-08	up
13040	Ctss	cathepsin S	280.92885435164	1.27920007995152	0.254304930323481	4.01932375246793e-08	3.97561360665984e-05	3.03951198244145	4.01932375246793e-08	up
214854	Neurl3	neuralized E3 ubiquitin protein ligase 3	17.2483148894948	1.21447634556942	0.220306771527372	4.62361004767633e-08	4.30430897732503e-05	1.62767179908233	4.62361004767633e-08	up
236451	Phf11b	PHD finger protein 11B	119.695599013919	1.274349598839	0.238714331000841	7.00393563393666e-08	5.83390975487798e-05	1.90831435922438	7.00393563393666e-08	up
14727	Lilrb4b	leukocyte immunoglobulin-like receptor, subfamily B, member 4B	10.8578455149525	1.23555038723188	0.251200020074168	6.82271288713524e-08	5.83390975487798e-05	3.61611814539754	6.82271288713524e-08	up
21857	Timp1	tissue inhibitor of metalloproteinase 1	40.5900186782775	1.28511650113317	0.252209751703218	1.61116324213997e-07	0.000125198915754775	2.32495119158638	1.61116324213997e-07	up
12655	Chil3	chitinase-like 3	8.06287914953722	1.19691495539529	0.248390942890767	1.66130243324293e-07	0.000125198915754775	3.87852321206267	1.66130243324293e-07	up
215900	Calhm6	calcium homeostasis modulator family member 6	15.536285502646	1.16403234042709	0.250781609678624	2.10206083571658e-07	0.000151214612663866	3.36962147504653	2.10206083571658e-07	up
240239	Gpr151	G protein-coupled receptor 151	42.2296488540254	1.23738406589153	0.242609616961261	2.56363160181756e-07	0.000175834135056306	1.92558862293412	2.56363160181756e-07	up
24108	Ubd	ubiquitin D	10.0587702494371	1.1783283411807	0.249710962317453	2.66651032563588e-07	0.000175834135056306	3.54256183961043	2.66651032563588e-07	up
246256	Fcgr4	Fc receptor, IgG, low affinity IV	9.06657798815751	1.2066500515004	0.252589040273657	3.48214683469285e-07	0.000220433823223396	3.27753434474027	3.48214683469285e-07	up
235587	Parp3	poly (ADP-ribose) polymerase family, member 3	376.656143026633	0.89089826386375	0.17532071672922	3.67972414769283e-07	0.000223981978313026	1.03307584934772	3.67972414769283e-07	up
232413	Clec12a	C-type lectin domain family 12, member a	15.099997346916	1.25016495777355	0.254827987460131	4.50414215547279e-07	0.000256203605485558	2.54697658334708	4.50414215547279e-07	up
20358	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	178.767664200068	0.61311719111439	0.12151828203699	4.53285792594188e-07	0.000256203605485558	0.652673406780708	4.53285792594188e-07	up
56791	Ube2l6	ubiquitin-conjugating enzyme E2L 6	682.621562740613	0.953336236242841	0.189781891383525	4.93284632181053e-07	0.000269197330651633	1.14443244622181	4.93284632181053e-07	up
105855	Nckap1l	NCK associated protein 1 like	18.1106647770976	1.22000587834807	0.252892506979114	8.29940732652803e-07	0.000423698130160105	2.25691870910781	8.29940732652803e-07	up
15018	H2-Q7	histocompatibility 2, Q region locus 7	104.718071780118	1.20970637744737	0.254032496900546	8.19198813932165e-07	0.000423698130160105	2.3049179424462	8.19198813932165e-07	up
101488	Slco2b1	solute carrier organic anion transporter family, member 2b1	78.0205446150924	0.937948531083003	0.190870726783405	8.9045352276372e-07	0.000440384920351832	1.1298077976855	8.9045352276372e-07	up
56644	Clec7a	C-type lectin domain family 7, member a	41.313597651408	1.03600177660914	0.245593905876037	9.75870400565489e-07	0.000468003786646952	3.35780658269804	9.75870400565489e-07	up
24088	Tlr2	toll-like receptor 2	19.8712749901498	1.19640042591976	0.248695170853677	1.25010215253469e-06	0.000574629870199742	2.00709233887331	1.25010215253469e-06	up
211550	Tifa	TRAF-interacting protein with forkhead-associated domain	269.985885137469	0.943610045526701	0.195031733651423	1.27082304163977e-06	0.000574629870199742	1.14955574207427	1.27082304163977e-06	up
16414	Itgb2	integrin beta 2	17.1821376786834	1.19564973460286	0.254878613528422	1.38473324604305e-06	0.000608744120885481	2.42744302712554	1.38473324604305e-06	up
21937	Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	458.201955516434	0.720008476596842	0.149800139008399	1.53017696111558e-06	0.000654502178016625	0.796105738331065	1.53017696111558e-06	up
