gene_symbol	avg_log2FC	p_val	p_val_adj	pct_Tac1	pct_OtherNeu	p_val_adj_BH
Tac1	5.23500916925415	8.66634812315119e-159	1.98546035501394e-154	1	0.161	3.78546086019244e-155
Nmu	2.75865030557104	3.36413950789554e-07	0.00770724361258868	0.127	0.047	3.29303583191795e-06
Arhgap36	2.5752303915168	2.61239285883213e-11	5.9849920395844e-07	0.165	0.053	8.65436804195928e-10
Qrfpr	2.38617409600195	1.39848466978963e-16	3.20392837848805e-12	0.123	0.022	1.71488996678935e-14
Dlk1	2.37965832664022	1.39409358958432e-26	3.19386841373768e-22	0.302	0.08	7.61175099913039e-24
Gm56652	2.21778299311611	1.05139825155663e-14	2.40875339431623e-10	0.132	0.028	7.52870092262188e-13
Tlx3	1.82934954561542	2.68817884510854e-45	6.15861773414367e-41	0.627	0.196	3.91398839847803e-42
Gm20063	1.79486841156828	2.50427325885301e-07	0.00573729003603225	0.108	0.036	2.54980549992307e-06
Cbln2	1.78825427717916	6.60731023535446e-16	1.51373477491971e-11	0.575	0.365	6.55925707000643e-14
Nts	1.78470723229177	1.17691835437893e-06	0.0269631994988213	0.175	0.08	9.79196070843268e-06
Gm33293	1.66428274719994	2.38512157655752e-22	5.46431353189328e-18	0.33	0.102	8.01400849723326e-20
Pou4f1	1.66272311121168	5.17089864859652e-06	0.118465288039346	0.113	0.043	3.5229299294111e-05
Vmn1r85	1.65594876840145	5.80916950328629e-07	0.0133088073320289	0.104	0.034	5.3195916960911e-06
Calb2	1.64907714577923	1.49056476574068e-10	3.4148838783119e-06	0.585	0.374	3.92216078117789e-09
Aldh3b2	1.63653545242574	2.66657881758174e-05	0.610913207107976	0.175	0.089	0.000141665432726125
Cbln1	1.63057625640652	1.60685025160417e-21	3.68129392642516e-17	0.458	0.193	5.01337278500502e-19
Tacr1	1.62329936567649	2.41116012262464e-06	0.0552396784093304	0.108	0.039	1.81272761026238e-05
Shox2	1.59048729659688	2.42009777471006e-11	5.54444400186074e-07	0.245	0.097	8.19456362785544e-10
Htr2c	1.4904056644338	1.86241187469378e-16	4.26678560492345e-12	0.255	0.081	2.14079343912169e-14
Nrn1	1.4893441548144	9.73066535919603e-45	2.22929543379181e-40	0.807	0.352	1.06258865722421e-41
Stk26	1.47750366255168	5.10826831203399e-10	1.17030427028699e-05	0.184	0.067	1.18685723334917e-08
Adra2a	1.43597942140115	4.02271321705675e-16	9.21603598027701e-12	0.373	0.154	4.39280283302597e-14
Mfng	1.4328191690218	2.73239101390518e-08	0.000625990781285677	0.142	0.049	3.80098214927957e-07
Insm2	1.42176450343638	1.01183251066285e-06	0.0231810828192859	0.137	0.054	8.63219610659244e-06
Prlr	1.39939258739147	4.52834992900322e-10	1.03744496873464e-05	0.184	0.067	1.05778277661903e-08
Slc17a6	1.39627103766227	7.56036093630285e-66	1.73207869050698e-61	1	0.362	1.65118282848854e-62
Pcp4	1.3717116738008	7.37930257963747e-30	1.69059822099494e-25	0.858	0.569	5.37213227797608e-27
Htr5b	1.3651016000564	1.31794559729988e-05	0.301941336341402	0.127	0.054	7.7480301063336e-05
Vwc2l	1.35912802416144	1.03897792010307e-11	2.38029841495613e-07	0.236	0.088	4.1256868681911e-10
Dgkk	1.34697109389738	2.45005301541328e-06	0.0561307145831182	0.156	0.068	1.83414304571035e-05
Mab21l2	1.34619009163155	8.34529127037449e-24	1.9119062300428e-19	0.703	0.39	3.64522322689958e-21
C130021I20Rik	1.31841829184139	1.30308923552763e-23	2.98537743859379e-19	0.448	0.166	5.17444889162243e-21
AB041806	1.31665701714411	2.75923115086208e-05	0.632139856662502	0.137	0.061	0.000145559440422289
Synpr	1.31440586145256	4.61154012566219e-18	1.05650384278921e-13	0.698	0.46	7.46044713662683e-16
1700003F12Rik	1.30562206860656	0.000210571138135909	1	0.108	0.049	0.000832375322513712
Jph2	1.29803535481555	1.01154675356793e-06	0.0231745361242412	0.146	0.059	8.63219610659244e-06
