Term	Ont	N	DE	P.DE	FDR	ratio
GO:0007218	neuropeptide signaling pathway	BP	38	21	5.70778801825187e-11	8.99775703197225e-07	0.552631578947368
GO:0007631	feeding behavior	BP	45	22	4.62304184938873e-10	3.6438815856882e-06	0.488888888888889
GO:0007267	cell-cell signaling	BP	430	90	1.92567415408458e-09	1.01187757883298e-05	0.209302325581395
GO:0004930	G protein-coupled receptor activity	MF	83	30	2.91906677358065e-09	1.13234500534913e-05	0.36144578313253
GO:0007186	G protein-coupled receptor signaling pathway	BP	216	55	3.59155355667702e-09	1.13234500534913e-05	0.25462962962963
GO:0099536	synaptic signaling	BP	318	71	7.93468054147762e-09	2.08470506759755e-05	0.223270440251572
GO:0099537	trans-synaptic signaling	BP	302	68	1.19463484529178e-08	2.13896984176275e-05	0.225165562913907
GO:0098793	presynapse	CC	302	68	1.19463484529178e-08	2.13896984176275e-05	0.225165562913907
GO:0043005	neuron projection	CC	520	101	1.2211829850206e-08	2.13896984176275e-05	0.194230769230769
GO:0007268	chemical synaptic transmission	BP	299	67	1.91287295520331e-08	2.74132084234772e-05	0.224080267558528
GO:0098916	anterograde trans-synaptic signaling	BP	299	67	1.91287295520331e-08	2.74132084234772e-05	0.224080267558528
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	BP	77	27	3.90582893675537e-08	5.13095727991764e-05	0.350649350649351
GO:0007610	behavior	BP	269	61	5.64908873237199e-08	6.40828342596101e-05	0.226765799256506
GO:0004888	transmembrane signaling receptor activity	MF	162	43	5.69119309588012e-08	6.40828342596101e-05	0.265432098765432
GO:0045202	synapse	CC	651	117	7.28864199165327e-08	7.65987682376148e-05	0.179723502304147
GO:0051480	regulation of cytosolic calcium ion concentration	BP	25	14	8.109405096436e-08	7.98979137126356e-05	0.56
GO:0005184	neuropeptide hormone activity	MF	11	9	1.48383104416199e-07	0.000129950625445386	0.818181818181818
GO:0160041	neuropeptide activity	MF	11	9	1.48383104416199e-07	0.000129950625445386	0.818181818181818
GO:0036477	somatodendritic compartment	CC	399	79	2.91818984630495e-07	0.000242117603879744	0.197994987468672
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	BP	41	17	9.07710084193067e-07	0.000715457088360975	0.414634146341463
GO:0043679	axon terminus	CC	84	26	1.1590825222033e-06	0.000870084613333946	0.30952380952381
GO:0030425	dendrite	CC	293	61	1.39595460136015e-06	0.00100026492435643	0.208191126279863
GO:0050795	regulation of behavior	BP	38	16	1.49451056074414e-06	0.00102432454259003	0.421052631578947
GO:0097447	dendritic tree	CC	294	61	1.57634623018171e-06	0.00103539674885768	0.207482993197279
GO:0030424	axon	CC	291	60	2.41285034155954e-06	0.00152144691137378	0.206185567010309
GO:0050877	nervous system process	BP	345	68	2.65405622971157e-06	0.00160917470789127	0.197101449275362
GO:0005886	plasma membrane	CC	1232	186	3.0978222711398e-06	0.00180866926971288	0.150974025974026
GO:0044297	cell body	CC	290	59	4.64584067604915e-06	0.00261560830061567	0.203448275862069
GO:0043204	perikaryon	CC	86	25	6.63868306977195e-06	0.00360869654868569	0.290697674418605
GO:0015837	amine transport	BP	42	16	7.19099760668394e-06	0.00377862954239219	0.380952380952381
