Term	Ont	N	DE	P.DE	FDR	ratio
GO:0099536	synaptic signaling	BP	318	71	7.93468054147762e-09	2.08470506759755e-05	0.223270440251572
GO:0099537	trans-synaptic signaling	BP	302	68	1.19463484529178e-08	2.13896984176275e-05	0.225165562913907
GO:0007268	chemical synaptic transmission	BP	299	67	1.91287295520331e-08	2.74132084234772e-05	0.224080267558528
GO:0098916	anterograde trans-synaptic signaling	BP	299	67	1.91287295520331e-08	2.74132084234772e-05	0.224080267558528
GO:0051932	synaptic transmission, GABAergic	BP	26	12	1.0099302122069e-05	0.00468251172506753	0.461538461538462
GO:0050804	modulation of chemical synaptic transmission	BP	224	47	2.02160823938174e-05	0.00692796354035082	0.209821428571429
GO:0099177	regulation of trans-synaptic signaling	BP	224	47	2.02160823938174e-05	0.00692796354035082	0.209821428571429
GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	BP	8	6	5.18490313647926e-05	0.0141248348273428	0.75
GO:0032228	regulation of synaptic transmission, GABAergic	BP	18	9	6.20196398989778e-05	0.016027501694549	0.5
GO:0070050	neuron cellular homeostasis	BP	22	10	6.7067874978297e-05	0.0167994984185831	0.454545454545455
GO:0007416	synapse assembly	BP	103	26	6.71383151719575e-05	0.0167994984185831	0.252427184466019
GO:0050951	sensory perception of temperature stimulus	BP	11	6	0.00062982317785123	0.0936654016570452	0.545454545454545
GO:0060078	regulation of postsynaptic membrane potential	BP	64	17	0.000651356905003809	0.095962525705421	0.265625
GO:0099171	presynaptic modulation of chemical synaptic transmission	BP	19	8	0.000696611808274149	0.100746683904896	0.421052631578947
GO:0019233	sensory perception of pain	BP	38	12	0.000770000638082846	0.107535495304067	0.31578947368421
GO:0032230	positive regulation of synaptic transmission, GABAergic	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0050808	synapse organization	BP	233	42	0.00170360339906707	0.180238952905324	0.180257510729614
GO:0099003	vesicle-mediated transport in synapse	BP	104	22	0.00304704862594312	0.286673323187262	0.211538461538462
GO:0007271	synaptic transmission, cholinergic	BP	10	5	0.00305437431612148	0.286673323187262	0.5
GO:0099565	chemical synaptic transmission, postsynaptic	BP	50	13	0.00339641000350518	0.314947101736798	0.26
GO:0007600	sensory perception	BP	125	25	0.00364762832065815	0.3343093770166	0.2
GO:0032222	regulation of synaptic transmission, cholinergic	BP	7	4	0.0045770597391491	0.373848547813194	0.571428571428571
GO:0032224	positive regulation of synaptic transmission, cholinergic	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0051963	regulation of synapse assembly	BP	72	16	0.00661744119687808	0.474169741034482	0.222222222222222
GO:0099504	synaptic vesicle cycle	BP	86	18	0.0079039316400693	0.527170932662716	0.209302325581395
GO:0001963	synaptic transmission, dopaminergic	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0098700	neurotransmitter loading into synaptic vesicle	BP	8	4	0.00832691970521544	0.527170932662716	0.5
GO:0060079	excitatory postsynaptic potential	BP	44	11	0.00935429225019204	0.573778455377538	0.25
GO:0051965	positive regulation of synapse assembly	BP	28	8	0.0112332969010845	0.596587285146688	0.285714285714286
GO:0050806	positive regulation of synaptic transmission	BP	70	15	0.0118434934126122	0.596587285146688	0.214285714285714
