Term	Ont	N	DE	P.DE	FDR	ratio
GO:0006955	immune response	BP	1342	95	2.88943615715091e-66	6.14120760840854e-62	0.0707898658718331
GO:0006952	defense response	BP	1420	91	8.4924461103067e-59	9.02492248142292e-55	0.0640845070422535
GO:0002376	immune system process	BP	2060	100	5.95444027857056e-55	4.21852245602462e-51	0.0485436893203883
GO:0009605	response to external stimulus	BP	1940	97	7.79550772771241e-54	4.14214303111999e-50	0.05
GO:0051707	response to other organism	BP	1256	83	2.30477034696555e-53	9.28128329773965e-50	0.0660828025477707
GO:0043207	response to external biotic stimulus	BP	1258	83	2.6201044408788e-53	9.28128329773965e-50	0.0659777424483307
GO:0009607	response to biotic stimulus	BP	1296	83	2.87204294794114e-52	8.72034297364871e-49	0.0640432098765432
GO:0044419	biological process involved in interspecies interaction between organisms	BP	1364	84	1.12089864778973e-51	2.97794748251536e-48	0.06158357771261
GO:0098542	defense response to other organism	BP	858	69	2.03819831496934e-48	4.81331855403983e-45	0.0804195804195804
GO:0140546	defense response to symbiont	BP	843	66	2.94630274531147e-45	6.262071854885e-42	0.0782918149466192
GO:0045087	innate immune response	BP	809	63	8.74610879124304e-43	1.689907238628e-39	0.0778739184177998
GO:0050776	regulation of immune response	BP	776	59	3.69895606215252e-39	6.55146767874915e-36	0.0760309278350515
GO:0002682	regulation of immune system process	BP	1294	68	1.28446146278919e-35	2.09999568693242e-32	0.0525502318392581
GO:0034097	response to cytokine	BP	856	55	2.06813486709482e-32	3.13972417608809e-29	0.0642523364485981
GO:1901652	response to peptide	BP	874	55	6.06240999887652e-32	8.59003080774144e-29	0.062929061784897
GO:0006950	response to stress	BP	3371	96	2.0039003509893e-31	2.66193112874542e-28	0.0284781963808959
GO:0050896	response to stimulus	BP	6847	128	3.17933504772135e-30	3.97491688848645e-27	0.0186943186797137
GO:0050778	positive regulation of immune response	BP	634	47	4.25483302161461e-30	5.02401228007761e-27	0.0741324921135647
GO:0002684	positive regulation of immune system process	BP	913	54	5.98918375272797e-30	6.69969007792002e-27	0.0591456736035049
GO:0071345	cellular response to cytokine stimulus	BP	765	48	1.67615610224361e-27	1.78125108985429e-24	0.0627450980392157
GO:0009617	response to bacterium	BP	548	42	2.54079349422563e-27	2.57152499648912e-24	0.0766423357664234
GO:0002250	adaptive immune response	BP	335	35	3.13233394223752e-27	3.02611934583255e-24	0.104477611940299
GO:0006954	inflammatory response	BP	675	45	8.70350822341672e-27	8.04279842523909e-24	0.0666666666666667
GO:0048002	antigen processing and presentation of peptide antigen	BP	53	19	5.81608655889622e-26	5.15062932178251e-23	0.358490566037736
GO:0019882	antigen processing and presentation	BP	93	22	2.25925153321989e-25	1.92072528348222e-22	0.236559139784946
GO:0002252	immune effector process	BP	478	38	3.21621666040265e-25	2.62913341923838e-22	0.0794979079497908
GO:0002443	leukocyte mediated immunity	BP	301	32	3.99396546076654e-25	3.14399044085674e-22	0.106312292358804
GO:0031347	regulation of defense response	BP	723	43	1.45894794342448e-23	1.10744569962657e-20	0.0594744121715076
GO:0009897	external side of plasma membrane	CC	291	30	3.61778475310555e-23	2.65146197043122e-20	0.103092783505155
GO:0019884	antigen processing and presentation of exogenous antigen	BP	31	15	3.76499051118865e-23	2.66737027749345e-20	0.483870967741935
GO:0002478	antigen processing and presentation of exogenous peptide antigen	BP	25	14	6.96308275040774e-23	4.77397937990858e-20	0.56
GO:0045321	leukocyte activation	BP	789	43	4.4932715139144e-22	2.98437477364802e-19	0.0544993662864385
GO:0001775	cell activation	BP	902	45	1.34745633283276e-21	8.67843542364469e-19	0.0498891352549889
GO:0002449	lymphocyte mediated immunity	BP	223	26	1.65149829279179e-21	1.03238072691167e-18	0.116591928251121
GO:0032101	regulation of response to external stimulus	BP	938	45	6.46419225417208e-21	3.92542691914781e-18	0.0479744136460554
GO:0098552	side of membrane	CC	563	36	1.1305522970672e-20	6.67465514496286e-18	0.063943161634103
GO:0002697	regulation of immune effector process	BP	297	28	1.39095571395689e-20	7.99010074174046e-18	0.0942760942760943
GO:0001817	regulation of cytokine production	BP	648	38	1.57978150908974e-20	8.77052667028005e-18	0.058641975308642
GO:0002703	regulation of leukocyte mediated immunity	BP	194	24	1.60934666482037e-20	8.77052667028005e-18	0.123711340206186
GO:0001816	cytokine production	BP	655	38	2.29198055365328e-20	1.21601082754509e-17	0.0580152671755725
GO:0042221	response to chemical	BP	3063	78	2.34574404485502e-20	1.21601082754509e-17	0.0254652301665034
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	250	26	3.12917964861507e-20	1.58351391075392e-17	0.104
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	BP	36	14	5.44194028398292e-20	2.68983718129705e-17	0.388888888888889
GO:0001906	cell killing	BP	159	22	5.93320355679632e-20	2.86600700900339e-17	0.138364779874214
GO:0002764	immune response-regulating signaling pathway	BP	449	32	8.95130753922657e-20	4.22780200974937e-17	0.0712694877505568
GO:0048584	positive regulation of response to stimulus	BP	2075	63	1.97809840437569e-19	9.13967467100018e-17	0.0303614457831325
GO:0009986	cell surface	CC	753	39	3.52244017446988e-19	1.59289241421666e-16	0.051792828685259
GO:0009615	response to virus	BP	342	28	6.20885753329071e-19	2.74923037526168e-16	0.0818713450292398
GO:0051607	defense response to virus	BP	263	25	1.59725448341295e-18	6.92817281437933e-16	0.0950570342205323
GO:0032103	positive regulation of response to external stimulus	BP	580	34	2.41280716218581e-18	1.02563606850194e-15	0.0586206896551724
GO:0001909	leukocyte mediated cytotoxicity	BP	105	18	3.21786184876941e-18	1.34102815164206e-15	0.171428571428571
GO:0031349	positive regulation of defense response	BP	475	31	4.62154526835328e-18	1.88896775256886e-15	0.0652631578947368
GO:0002831	regulation of response to biotic stimulus	BP	515	32	5.2086065055308e-18	2.08874948431229e-15	0.0621359223300971
GO:0034341	response to type II interferon	BP	128	19	6.03675013866797e-18	2.31197899209698e-15	0.1484375
GO:0019221	cytokine-mediated signaling pathway	BP	407	29	6.0528597426603e-18	2.31197899209698e-15	0.0712530712530713
GO:0048583	regulation of response to stimulus	BP	3514	80	6.09159798425853e-18	2.31197899209698e-15	0.022766078542971
GO:0001819	positive regulation of cytokine production	BP	407	28	6.05802209958741e-17	2.25889827551984e-14	0.0687960687960688
GO:0046649	lymphocyte activation	BP	650	34	7.86877577621816e-17	2.88349931634036e-14	0.0523076923076923
GO:0002253	activation of immune response	BP	491	30	1.05866745950415e-16	3.81371494649175e-14	0.0610997963340122
