direction	ligand_complex	ligand_subunits	receptor_complex	receptor_subunits	annotation	pathway_name	interaction_name	L_mean_sender	L_pct_sender	L_rn	R_mean_receiver	R_pct_receiver	R_rn	prob
Tac1+_neuron -> Cx3cr1+_immune	Tgfb2	Tgfb2	TGFbR1_R2	Tgfbr1;Tgfbr2	Secreted Signaling	TGFb	TGFB2_TGFBR1_TGFBR2	0.123835669256985	0.259433962264151	0.646573548668704	0.771806492889353	0.618604651162791	0.960946347859461	0.492456298716591
Tac1+_neuron -> Cx3cr1+_immune	Tgfb2	Tgfb2	ACVR1_TGFbR	Acvr1;Tgfbr1;Tgfbr2	Secreted Signaling	TGFb	TGFB2_ACVR1_TGFBR1	0.123835669256985	0.259433962264151	0.646573548668704	0.448215626260424	0.209302325581395	0.896344469300749	0.477270858175378
Tac1+_neuron -> Cx3cr1+_immune	Tnfsf12	Tnfsf12	Tnfrsf12a	Tnfrsf12a	Secreted Signaling	TWEAK	TNFSF12_TNFRSF12A	0.151010046672506	0.349056603773585	0.681667394151026	0.190242849347853	0.232558139534884	0.815451767786993	0.472533846634939
Tac1+_neuron -> Cx3cr1+_immune	Tgfb2	Tgfb2	ACVR1B_TGFbR2	Acvr1b;Tgfbr2	Secreted Signaling	TGFb	TGFB2_ACVR1B_TGFBR2	0.123835669256985	0.259433962264151	0.646573548668704	0.197827516818217	0.0976744186046512	0.78914210935909	0.446524252265224
Tac1+_neuron -> Cx3cr1+_immune	Csf1	Csf1	Csf1r	Csf1r	Secreted Signaling	CSF	CSF1_CSF1R	0.0426311709010164	0.117924528301887	0.511916193801833	2.75497456997994	0.925581395348837	0.996115233522479	0.408780462637126
Tac1+_neuron -> Cx3cr1+_immune	Ccl4	Ccl4	Ccr5	Ccr5	Secreted Signaling	CCL	CCL4_CCR5	0.0339758969898629	0.080188679245283	0.489087734613706	0.965710698082037	0.711627906976744	0.97402880838062	0.386992465085767
Tac1+_neuron -> Cx3cr1+_immune	Ccl3	Ccl3	Ccr5	Ccr5	Secreted Signaling	CCL	CCL3_CCR5	0.0243347955551736	0.0613207547169811	0.457835006547359	0.965710698082037	0.711627906976744	0.97402880838062	0.360950170270186
Tac1+_neuron -> Cx3cr1+_immune	C3	C3	C3ar1	C3ar1	Secreted Signaling	COMPLEMENT	C3_C3AR1	0.0192979787707786	0.0660377358490566	0.437712789175033	1.21042599798155	0.823255813953488	0.981667394151026	0.344496330780924
Tac1+_neuron -> Cx3cr1+_immune	Il34	Il34	Csf1r	Csf1r	Secreted Signaling	CSF	IL34_CSF1R	0.0181292049164113	0.0660377358490566	0.432300305543431	2.75497456997994	0.925581395348837	0.996115233522479	0.34167806526503
Tac1+_neuron -> Cx3cr1+_immune	C3	C3	ITGAM_ITGB2	Itgam;Itgb2	Secreted Signaling	COMPLEMENT	C3_ITGAM_ITGB2	0.0192979787707786	0.0660377358490566	0.437712789175033	0.681290235080543	0.493023255813954	0.949829680040376	0.339726391763045
Tac1+_neuron -> Cx3cr1+_immune	Il11	Il11	IL11R complex 1	Il11ra1;Il6st	Secreted Signaling	IL6	IL11_IL11RA1_IL6ST	0.0170753791624988	0.0566037735849057	0.42723701440419	0.350387187754003	0.423255813953488	0.898667513997796	0.322251778581763
Tac1+_neuron -> Cx3cr1+_immune	Ccl3	Ccl3	Ccr1	Ccr1	Secreted Signaling	CCL	CCL3_CCR1	0.0243347955551736	0.0613207547169811	0.457835006547359	0.144418618414037	0.125581395348837	0.772588389349629	0.321435391633594
Tac1+_neuron -> Cx3cr1+_immune	C3	C3	ITGAX_ITGB2	Itgax;Itgb2	Secreted Signaling	COMPLEMENT	C3_ITGAX_ITGB2	0.0192979787707786	0.0660377358490566	0.437712789175033	0.17438209557454	0.0790697674418605	0.779548533681201	0.307404183126611
