direction	ligand_complex	ligand_subunits	receptor_complex	receptor_subunits	annotation	pathway_name	interaction_name	L_mean_sender	L_pct_sender	L_rn	R_mean_receiver	R_pct_receiver	R_rn	prob
Cx3cr1+_immune -> Tac1+_neuron	Ptn	Ptn	Ncl	Ncl	Secreted Signaling	PTN	PTN_NCL	0.680016054608512	0.47906976744186	0.956219991270188	1.33217640405286	0.976415094339623	0.978044522042776	0.62257824069578
Cx3cr1+_immune -> Tac1+_neuron	Ptn	Ptn	Sdc3	Sdc3	Secreted Signaling	PTN	PTN_SDC3	0.680016054608512	0.47906976744186	0.956219991270188	0.892016843156507	0.938679245283019	0.952291575731122	0.615586327473229
Cx3cr1+_immune -> Tac1+_neuron	Cadm1	Cadm1	Cadm1	Cadm1	Cell-Cell Contact	CADM	CADM1_CADM1	0.456101747599066	0.493023255813954	0.925229157573112	1.50105698073881	0.976415094339623	0.983326058489742	0.614969682798147
Cx3cr1+_immune -> Tac1+_neuron	Ncam1	Ncam1	Ncam1	Ncam1	Cell-Cell Contact	NCAM	NCAM1_NCAM1	0.33090586901513	0.302325581395349	0.89266695766041	2.17056583581386	1	0.994369271060672	0.60757137261776
Cx3cr1+_immune -> Tac1+_neuron	Ptn	Ptn	Ptprz1	Ptprz1	Secreted Signaling	PTN	PTN_PTPRZ1	0.680016054608512	0.47906976744186	0.956219991270188	0.618350591399338	0.537735849056604	0.915320820602357	0.604814727138756
Cx3cr1+_immune -> Tac1+_neuron	Ncam1	Ncam1	L1cam	L1cam	Cell-Cell Contact	NCAM	NCAM1_L1CAM	0.33090586901513	0.302325581395349	0.89266695766041	0.777027317234623	0.877358490566038	0.93963334788302	0.593217281492623
Cx3cr1+_immune -> Tac1+_neuron	Ptn	Ptn	Sdc2	Sdc2	Secreted Signaling	PTN	PTN_SDC2	0.680016054608512	0.47906976744186	0.956219991270188	0.40138179566906	0.665094339622642	0.856045395024007	0.585533817823264
Cx3cr1+_immune -> Tac1+_neuron	Ncam1	Ncam1	Ncam2	Ncam2	Cell-Cell Contact	NCAM	NCAM1_NCAM2	0.33090586901513	0.302325581395349	0.89266695766041	0.575369519567794	0.787735849056604	0.905848974247054	0.583434761388734
Cx3cr1+_immune -> Tac1+_neuron	Psap	Psap	Gpr37l1	Gpr37l1	Secreted Signaling	PSAP	PSAP_GPR37L1	2.63934266354281	0.976744186046512	0.995329550414666	0.3224876939198	0.235849056603774	0.818507202095155	0.581503822940613
Cx3cr1+_immune -> Tac1+_neuron	F11r	F11r	Jam3	Jam3	Cell-Cell Contact	JAM	F11R_JAM3	1.17204254796018	0.837209302325581	0.980619816673941	0.33216571263841	0.627358490566038	0.824487123526844	0.580262657625939
Cx3cr1+_immune -> Tac1+_neuron	Pdgfb	Pdgfb	Pdgfra	Pdgfra	Secreted Signaling	PDGF	PDGFB_PDGFRA	0.804512441235472	0.623255813953488	0.965560890440855	0.321216267712345	0.19811320754717	0.817503273679616	0.573875515178792
Cx3cr1+_immune -> Tac1+_neuron	Mdk	Mdk	Ncl	Ncl	Secreted Signaling	MK	MDK_NCL	0.166778822411582	0.153488372093023	0.795896988214753	1.33217640405286	0.976415094339623	0.978044522042776	0.56845369302806
Cx3cr1+_immune -> Tac1+_neuron	Igf1	Igf1	Igf1r	Igf1r	Secreted Signaling	IGF	IGF1_IGF1R	0.417899934198881	0.362790697674419	0.916892186817983	0.330280285505104	0.599056603773585	0.823308598865124	0.563103587966606
Cx3cr1+_immune -> Tac1+_neuron	Nrxn1	Nrxn1	Nlgn3	Nlgn3	Cell-Cell Contact	NRXN	NRXN1_NLGN3	0.208624596648542	0.204651162790698	0.829986905281536	0.563297923457695	0.834905660377358	0.903055434308162	0.561571226279826
Cx3cr1+_immune -> Tac1+_neuron	Nrxn1	Nrxn1	Nlgn2	Nlgn2	Cell-Cell Contact	NRXN	NRXN1_NLGN2	0.208624596648542	0.204651162790698	0.829986905281536	0.52675723744218	0.816037735849057	0.894456569183763	0.559037160199341
Cx3cr1+_immune -> Tac1+_neuron	Nrxn1	Nrxn1	Nlgn1	Nlgn1	Cell-Cell Contact	NRXN	NRXN1_NLGN1	0.208624596648542	0.204651162790698	0.829986905281536	0.494799111671168	0.783018867924528	0.885945002182453	0.55647921118506
Cx3cr1+_immune -> Tac1+_neuron	Mdk	Mdk	Ptprz1	Ptprz1	Secreted Signaling	MK	MDK_PTPRZ1	0.166778822411582	0.153488372093023	0.795896988214753	0.618350591399338	0.537735849056604	0.915320820602357	0.552234470731824
Cx3cr1+_immune -> Tac1+_neuron	Mdk	Mdk	Lrp1	Lrp1	Secreted Signaling	MK	MDK_LRP1	0.166778822411582	0.153488372093023	0.795896988214753	0.61536777290024	0.858490566037736	0.91475338280227	0.552077012757466
Cx3cr1+_immune -> Tac1+_neuron	Nrxn2	Nrxn2	Nlgn3	Nlgn3	Cell-Cell Contact	NRXN	NRXN2_NLGN3	0.152842344056547	0.195348837209302	0.781711043212571	0.563297923457695	0.834905660377358	0.903055434308162	0.5431560228694
Cx3cr1+_immune -> Tac1+_neuron	Ccl2	Ccl2	Ackr1	Ackr1	Secreted Signaling	CCL	CCL2_ACKR1	1.71793907391228	0.655813953488372	0.990004364906155	0.19837783569188	0.443396226415094	0.730816237450895	0.542725085485945
Cx3cr1+_immune -> Tac1+_neuron	Cxcl2	Cxcl2	Ackr1	Ackr1	Secreted Signaling	CXCL	CXCL2_ACKR1	1.23968854219165	0.47906976744186	0.982409428197294	0.19837783569188	0.443396226415094	0.730816237450895	0.541018430454227
Cx3cr1+_immune -> Tac1+_neuron	Nrxn2	Nrxn2	Nlgn2	Nlgn2	Cell-Cell Contact	NRXN	NRXN2_NLGN2	0.152842344056547	0.195348837209302	0.781711043212571	0.52675723744218	0.816037735849057	0.894456569183763	0.540705054604728
Cx3cr1+_immune -> Tac1+_neuron	Sema4d	Sema4d	Plxnb2	Plxnb2	Cell-Cell Contact	SEMA4	SEMA4D_PLXNB2	0.563554078290143	0.618604651162791	0.943780008729812	0.219274961604301	0.485849056603774	0.749105194238324	0.540184436590984
Cx3cr1+_immune -> Tac1+_neuron	Ncam1	Ncam1	Fgfr1	Fgfr1	Cell-Cell Contact	NCAM	NCAM1_FGFR1	0.33090586901513	0.302325581395349	0.89266695766041	0.257576289685557	0.566037735849057	0.77891750327368	0.539064227980811
Cx3cr1+_immune -> Tac1+_neuron	Nrxn2	Nrxn2	Nlgn1	Nlgn1	Cell-Cell Contact	NRXN	NRXN2_NLGN1	0.152842344056547	0.195348837209302	0.781711043212571	0.494799111671168	0.783018867924528	0.885945002182453	0.53823098658222
Cx3cr1+_immune -> Tac1+_neuron	Pdgfa	Pdgfa	Pdgfra	Pdgfra	Secreted Signaling	PDGF	PDGFA_PDGFRA	0.223564399685721	0.251162790697674	0.839371453513749	0.321216267712345	0.19811320754717	0.817503273679616	0.53715691213121
Cx3cr1+_immune -> Tac1+_neuron	Nrxn3	Nrxn3	Nlgn3	Nlgn3	Cell-Cell Contact	NRXN	NRXN3_NLGN3	0.139562472888104	0.172093023255814	0.76669576604103	0.563297923457695	0.834905660377358	0.903055434308162	0.536989525175798
