direction	pathway	n_LR	max_prob	sum_prob
N->I	WNT	32	0.462433913804091	12.2253124483918
N->I	SEMA3	27	0.4512052818846	10.0061362767833
I->N	EPHB	13	0.495330778216814	5.45001173623467
I->N	NRXN	9	0.561571226279826	4.90285597311902
I->N	SEMA4	10	0.540184436590984	4.74675961310968
N->I	NOTCH	10	0.540544104813816	4.71538533913185
N->I	SEMA4	10	0.566876879923979	4.71058259077649
N->I	JAM	8	0.580262657625939	3.79163397767323
I->N	JAM	8	0.580262657625939	3.72158521330889
N->I	MK	7	0.533928416484398	3.51822545713343
N->I	PTN	6	0.631287105061	3.49049258733038
I->N	MK	7	0.56845369302806	3.39927180947583
N->I	BMP	9	0.406091655347751	3.36105768055143
I->N	PTN	6	0.62257824069578	3.24195775645113
N->I	NRXN	6	0.515002950428438	3.02929185158858
N->I	EPHA	6	0.530127309562618	3.00824555387614
I->N	NCAM	5	0.60757137261776	2.79701440419765
N->I	ncWNT	8	0.359549078441438	2.60028324203695
N->I	NCAM	5	0.60757137261776	2.57437058002435
N->I	SPP1	7	0.374525845831207	2.42058854808315
I->N	BMP	6	0.433346329707487	2.38082872644721
I->N	EPHA	6	0.48051979938189	2.378529135036
N->I	FGF	7	0.361639621904347	2.32854793903295
N->I	NECTIN	4	0.522973910771711	1.90630196783392
I->N	WNT	5	0.431672906578025	1.88508193841078
N->I	GDF	5	0.428858631992905	1.81470150387647
N->I	SEMA6	4	0.482811695568427	1.76971038333681
N->I	MIF	3	0.601460354761132	1.71027506514453
N->I	ANGPTL	5	0.365812369392096	1.65266622345584
N->I	THY1	3	0.580858762148968	1.61573115415252
I->N	CXCL	3	0.541018430454227	1.53509325100489
I->N	ANGPTL	4	0.467847544516129	1.53224570012324
I->N	SPP1	3	0.521797260238995	1.47740209658061
N->I	TGFb	3	0.492456298716591	1.41625140915719
I->N	SEMA6	3	0.477270722633367	1.39452182596156
I->N	OPIOID	3	0.478517205607226	1.26449854663054
I->N	NECTIN	3	0.422466424770285	1.13366477033347
N->I	GAS	2	0.582886716612445	1.11922998476756
I->N	PDGF	2	0.573875515178792	1.11103242731
N->I	CADM	2	0.614969682798147	1.09518977848584
I->N	CADM	2	0.614969682798147	1.09518977848584
I->N	CCL	2	0.542725085485945	1.07850982044867
N->I	CCL	3	0.386992465085767	1.06937802698955
I->N	PSAP	2	0.581503822940613	1.03819912693052
I->N	SOMATOSTATIN	3	0.373811229601578	1.02685769215995
N->I	VISFATIN	2	0.533645179317591	1.02013782628315
N->I	L1CAM	2	0.535029411435719	1.01209498493528
N->I	COMPLEMENT	3	0.344496330780924	0.99162690567058
I->N	CNTN	2	0.535775360646559	0.962076379208496
N->I	CD200	2	0.510601830211738	0.958496348141046
N->I	CNTN	2	0.556939646894493	0.922156760592846
N->I	ACTIVIN	3	0.364006977344777	0.902579904358761
N->I	IGF	2	0.392684930188524	0.753627378184044
N->I	CSF	2	0.408780462637126	0.750458527902156
N->I	SEMA5	2	0.427254357056679	0.745622644282653
N->I	APP	1	0.623283380856501	0.623283380856501
N->I	CX3C	1	0.602259838229651	0.602259838229651
N->I	PSAP	1	0.578345360221729	0.578345360221729
I->N	IGF	1	0.563103587966606	0.563103587966606
N->I	NT	1	0.561490080456293	0.561490080456293
N->I	NEGR	1	0.536942436740678	0.536942436740678
I->N	NEGR	1	0.536942436740678	0.536942436740678
N->I	MPZ	1	0.531148451687885	0.531148451687885
I->N	MPZ	1	0.531148451687885	0.531148451687885
I->N	CD39	1	0.521545462341385	0.521545462341385
I->N	GRN	1	0.517611386187827	0.517611386187827
I->N	GAS	1	0.517214130034402	0.517214130034402
N->I	GRN	1	0.510217634069944	0.510217634069944
I->N	PROS	1	0.506860802233322	0.506860802233322
I->N	NGL	1	0.501683545023617	0.501683545023617
N->I	NRG	1	0.494104212444158	0.494104212444158
I->N	EDN	1	0.492570198376632	0.492570198376632
N->I	CDH	1	0.491009072287694	0.491009072287694
I->N	CDH	1	0.491009072287694	0.491009072287694
I->N	OSM	1	0.488849129573651	0.488849129573651
I->N	EGF	1	0.48884807311545	0.48884807311545
N->I	NTS	1	0.485792596770468	0.485792596770468
N->I	PACAP	1	0.484908393414335	0.484908393414335
I->N	VISFATIN	1	0.48063711480049	0.48063711480049
I->N	ENHO	1	0.47984722521211	0.47984722521211
I->N	L1CAM	1	0.477065573499562	0.477065573499562
