"gene_symbol","in_seurat"
"Abca9",TRUE
"Rasgrp2",TRUE
"Cx3cr1",TRUE
"Nfe2",TRUE
"Abcd2",TRUE
"Add3",TRUE
"Bcl11a",TRUE
"Cd177",TRUE
"Rnf144a",TRUE
"Rfx2",TRUE
"Satb2",TRUE
"Arrb1",TRUE
"Klf2",TRUE
"Mbp",TRUE
"Insr",TRUE
"9130008F23Rik",TRUE
"S1pr5",TRUE
"Ralgps2",TRUE
"Pdlim1",TRUE
"Arhgef18",TRUE
"Btla",TRUE
"Hgsnat",TRUE
"Hdac10",TRUE
"Aph1b",TRUE
"Tmc6",TRUE
"Cd209a",TRUE
"Rnase2b",TRUE
"Ampd3",TRUE
"Rab36",TRUE
"Camkk2",TRUE
"Smim5",TRUE
"AI467606",TRUE
"Tmcc1",TRUE
"Arhgap21",TRUE
"Kctd12b",TRUE
"Klhl17",FALSE
"Dipk1a",TRUE
"Gstm1",TRUE
"Sqor",TRUE
"Bmyc",TRUE
"Rfc4",TRUE
"E2f2",TRUE
"Ccdc125",TRUE
"Rasgrp4",TRUE
"St3gal2",TRUE
"Dusp18",TRUE
"Fam89b",TRUE
"6430548M08Rik",TRUE
"Asap1",TRUE
"Foxred2",TRUE
"Plxdc1",TRUE
"Dock8",TRUE
"Il16",TRUE
"Rin3",TRUE
"Hdlbp",TRUE
"Arhgap39",TRUE
"Rbbp4",TRUE
"Ccdc88a",TRUE
