"gene_symbol","avg_log2FC_target_vs_bg","p_val","p_val_adj","pct_target","pct_bg","is_specific"
"Abca9",3.5610244062318,0,0,0.232,0.022,TRUE
"Cd177",3.36084598851255,0,0,0.323,0.026,TRUE
"Rnase2b",3.14399307170873,2.68876873697647e-277,8.68284088231811e-273,0.066,0.005,TRUE
"Rab36",2.85660423124841,6.63149103726364e-143,2.14150740066355e-138,0.045,0.005,TRUE
"Cx3cr1",2.62385503070334,0,0,0.464,0.105,TRUE
"6430548M08Rik",1.90948940820147,0,0,0.345,0.088,TRUE
"S1pr5",1.87787655468765,3.09935190985682e-277,1.00087371225006e-272,0.16,0.037,TRUE
"Nfe2",1.87535358924654,0,0,0.224,0.039,TRUE
"Camkk2",1.72079945374957,0,0,0.543,0.206,TRUE
"Rasgrp4",1.64908300904051,0,0,0.519,0.136,TRUE
"9130008F23Rik",1.60862315016866,1.59860348567718e-09,5.16237023629731e-05,0.013,0.006,TRUE
"Sqor",1.54579454962826,0,0,0.416,0.116,TRUE
"Rfx2",1.49099150721657,1.54512728528775e-110,4.98967954237973e-106,0.14,0.056,TRUE
"Smim5",1.32030665632557,3.99088179795018e-61,1.28877545901205e-56,0.052,0.016,TRUE
"E2f2",1.27108942177887,0,0,0.335,0.111,TRUE
"Ccdc88a",1.24969914357963,0,0,0.65,0.253,TRUE
"Abcd2",1.22576337365586,5.85205457013901e-284,1.88980398233499e-279,0.288,0.1,TRUE
"Mbp",1.18767404237245,3.32135509770956e-263,1.07256520170335e-258,0.52,0.289,TRUE
"Arhgap39",1.13225082194761,1.11242061466308e-134,3.59233989093149e-130,0.305,0.163,TRUE
"Aph1b",1.04237510218196,2.75397940191764e-38,8.89342568261262e-34,0.056,0.023,TRUE
"Tmcc1",0.958210553462483,9.35322088223708e-266,3.02043561950082e-261,0.683,0.421,TRUE
"Arrb1",0.886045440552161,1.53732346439506e-178,4.96447866357098e-174,0.269,0.118,TRUE
"Asap1",0.875267018354235,0,0,0.794,0.47,TRUE
"Ampd3",0.874680159532989,7.32563959242627e-182,2.36566879358222e-177,0.247,0.103,TRUE
"St3gal2",0.861375109984357,5.95165626367789e-104,1.9219683572295e-99,0.139,0.056,TRUE
"Tmc6",0.785511764707301,2.05796263220814e-182,6.64577872818975e-178,0.332,0.161,TRUE
"Fam89b",0.722036515373141,2.57742563751237e-292,8.32328061121871e-288,0.484,0.233,TRUE
"Gstm1",0.519143131861423,2.87546205879605e-321,9.2857296264701e-317,0.34,0.118,TRUE
"Satb2",0.492830921092544,6.9453097548926e-43,2.24284887914747e-38,0.054,0.021,FALSE
"Hgsnat",0.434619313612151,1.47615845821557e-305,4.76695850911553e-301,0.431,0.187,FALSE
"Dock8",0.431821007421884,5.82589197907691e-158,1.88135529680331e-153,0.799,0.55,FALSE
"Plxdc1",0.376362440796545,1.99946090471253e-47,6.45685909958816e-43,0.133,0.073,FALSE
"Rasgrp2",0.322211268622232,5.5549084164755e-202,1.79384657493243e-197,0.474,0.237,FALSE
"Foxred2",0.277426595995136,3.46696925738282e-23,1.11958838228663e-18,0.053,0.027,FALSE
"Add3",0.267798550621555,5.99128989520291e-132,1.93476724585788e-127,0.618,0.414,FALSE
"Hdlbp",0.255785986096154,3.25618794351424e-173,1.05152077259905e-168,0.598,0.354,FALSE
"Bmyc",0.0921719331269202,1.30452439167172e-39,4.2127006180255e-35,0.154,0.092,FALSE
"Rin3",0.030550800800305,2.85319551766217e-88,9.21382428518643e-84,0.574,0.369,FALSE
"Ccdc125",0.00447712027237968,3.04272230551279e-32,9.82586314119244e-28,0.179,0.117,FALSE
"Il16",-0.0950310381535449,1.07483387810812e-17,3.47096104257455e-13,0.277,0.214,FALSE
"Klf2",-0.204107952222683,4.28112749470533e-48,1.38250450186519e-43,0.758,0.552,FALSE
"Rnf144a",-0.22423286454916,5.87831661237334e-42,1.89828478363372e-37,0.207,0.126,FALSE
"Kctd12b",-0.318102635253943,0.000241283745330785,1,0.045,0.058,FALSE
"Dusp18",-0.357336704903031,0.694894476708715,1,0.03,0.031,FALSE
"Insr",-0.434944836845743,7.42972300096866e-15,2.39928044870281e-10,0.314,0.24,FALSE
"Pdlim1",-0.442650421121557,1.90761386397252e-08,0.000616025745092646,0.273,0.218,FALSE
"AI467606",-0.462184981881779,0.311384000345949,1,0.191,0.182,FALSE
"Rbbp4",-0.516973445678379,3.92196271936373e-06,0.126651942096413,0.562,0.44,FALSE
"Hdac10",-0.555468680480437,0.0709326906836409,1,0.027,0.023,FALSE
"Cd209a",-0.725972821636551,0.56554092823999,1,0.022,0.021,FALSE
"Arhgap21",-0.817816976272583,0.000254089619207972,1,0.084,0.1,FALSE
"Rfc4",-0.961280723675173,1.18827225557623e-05,0.383728759493233,0.051,0.068,FALSE
"Dipk1a",-1.03842247700109,0.00724046273242309,1,0.429,0.354,FALSE
"Bcl11a",-1.26594521461379,8.2241974682822e-15,2.65584008843237e-10,0.202,0.142,FALSE
"Arhgef18",-1.8900280007492,5.97735712977834e-63,1.93026793791932e-58,0.282,0.355,FALSE
"Ralgps2",-3.23183003178896,4.05759563223628e-64,1.31031935751806e-59,0.152,0.238,FALSE
"Btla",-3.62991283640979,7.65783888958339e-126,2.47294591261316e-121,0.108,0.248,FALSE
