gene_symbol	avg_log2FC_V7_vs_R7	p_val	p_val_adj	pct_V7	pct_R7	p_val_adj_BH_in_subset	is_RTX_down	is_RTX_down_BH
Cx3cr1	0.861629724257398	0.000434642682280546	1	0.174	0.128	0.00121699951038553	FALSE	TRUE
Cd177	0.423745357346347	0.000251146859870372	1	0.414	0.363	0.00078134578626338	FALSE	FALSE
Arrb1	0.326634024543321	0.317373568119733	1	0.167	0.158	0.386367822058805	FALSE	FALSE
S1pr5	0.26857048259937	0.153148648336416	1	0.056	0.043	0.238231230745536	FALSE	FALSE
Gstm1	0.244908323455262	0.18720772670275	1	0.312	0.3	0.275885070930368	FALSE	FALSE
Smim5	0.084668584252622	0.681681010744032	1	0.034	0.032	0.763482732033316	FALSE	FALSE
Rab36	0.0600727690216853	0.718981837670913	1	0.052	0.055	0.774288132876368	FALSE	FALSE
Arhgap39	0.050540671208593	0.854560112987401	1	0.136	0.136	0.88621048754249	FALSE	FALSE
Rasgrp4	0.033833270784241	0.905677585864722	1	0.47	0.491	0.905677585864722	FALSE	FALSE
Rnase2b	0.0280228772686346	0.215390042863974	1	0.1	0.117	0.287186723818631	FALSE	FALSE
Mbp	-0.0169716981447718	0.108497806115798	1	0.305	0.348	0.189871160702647	FALSE	FALSE
Asap1	-0.0463718581608039	0.000152803108008758	1	0.658	0.767	0.000534810878030655	FALSE	FALSE
Tmc6	-0.0477362984716128	0.204618677962432	1	0.252	0.279	0.286466149147405	FALSE	FALSE
Ccdc88a	-0.099641780038818	0.0968419688217704	1	0.514	0.557	0.180771675133971	FALSE	FALSE
Tmcc1	-0.106662561961831	0.013883951421334	1	0.497	0.565	0.0323958866497793	FALSE	FALSE
E2f2	-0.136598660344314	0.0380784705461696	1	0.323	0.371	0.0761569410923391	FALSE	FALSE
Sqor	-0.262089746918559	1.31092957799443e-05	0.42333848862174	0.369	0.468	6.11767136397399e-05	FALSE	FALSE
Camkk2	-0.30113196774691	7.65931918736355e-06	0.247342394517531	0.381	0.482	4.28921874492359e-05	FALSE	FALSE
9130008F23Rik	-0.330298673003107	0.363245558729108	1	0.001	0.003	0.42378648518396	FALSE	FALSE
St3gal2	-0.360637403279605	0.136964931237258	1	0.07	0.086	0.225589298508425	FALSE	FALSE
Aph1b	-0.446383108247974	0.280338468876437	1	0.019	0.025	0.356794414933648	FALSE	FALSE
Rfx2	-0.483576673521634	0.000953874692238505	1	0.068	0.105	0.00242804467115256	FALSE	FALSE
Ampd3	-0.484539626293869	3.17042628176947e-06	0.102382575917181	0.172	0.248	2.21929839723863e-05	FALSE	FALSE
Fam89b	-0.499579364354651	1.05400418332286e-12	3.40369570920452e-08	0.41	0.547	1.47560585665201e-11	FALSE	FALSE
Abca9	-0.533777228249421	0.0202387294145232	1	0.096	0.125	0.0435911095082037	FALSE	FALSE
Nfe2	-0.572705026621801	3.05443203061366e-05	0.986367735646068	0.129	0.189	0.000122177281224546	FALSE	FALSE
6430548M08Rik	-0.575476108458403	8.54554103699284e-09	0.00027596115670761	0.206	0.306	7.97583830119332e-08	FALSE	FALSE
Abcd2	-0.673567461096562	9.33359310301453e-16	3.01409722075648e-11	0.198	0.345	2.61340606884407e-14	FALSE	FALSE
