Term	Ont	N	DE	P.DE	FDR
GO:0044281	small molecule metabolic process	BP	1568	108	4.81586587596968e-12	1.03690408175503e-07
GO:0005737	cytoplasm	CC	9864	418	1.24941883487868e-10	1.34506184668864e-06
GO:0016125	sterol metabolic process	BP	144	23	1.20543029293271e-09	8.65137321237809e-06
GO:0030554	adenyl nucleotide binding	MF	1436	90	4.22555895555993e-08	0.000227451274680402
GO:0030695	GTPase regulator activity	MF	417	38	8.67223185677279e-08	0.000331215199496279
GO:0060589	nucleoside-triphosphatase regulator activity	MF	418	38	9.22990663219391e-08	0.000331215199496279
GO:0044283	small molecule biosynthetic process	BP	573	46	1.68860152253105e-07	0.000519389705451658
GO:0008203	cholesterol metabolic process	BP	135	19	2.64904226640271e-07	0.000677536083730058
GO:1902652	secondary alcohol metabolic process	BP	149	20	2.83211404652386e-07	0.000677536083730058
GO:0006066	alcohol metabolic process	BP	321	31	3.89719304015514e-07	0.000839104633475803
GO:0005622	intracellular anatomical structure	CC	12202	477	4.78246875114781e-07	0.000936103042554214
GO:0003824	catalytic activity	MF	4801	223	5.43472766195345e-07	0.000975126010745997
GO:0006629	lipid metabolic process	BP	1227	75	1.7308904360909e-06	0.00280304833206646
GO:0032559	adenyl ribonucleotide binding	MF	1339	80	1.82261282099904e-06	0.00280304833206646
GO:1901363	heterocyclic compound binding	MF	2036	110	2.26714298029471e-06	0.00321744585463787
GO:0005524	ATP binding	MF	1304	78	2.39093092165742e-06	0.00321744585463787
GO:0000166	nucleotide binding	MF	1905	104	2.87868010241212e-06	0.00364593301676678
GO:0098827	endoplasmic reticulum subcompartment	CC	1032	65	3.43231235975689e-06	0.0041056176343292
GO:0008610	lipid biosynthetic process	BP	640	46	3.66405928903885e-06	0.00413404451252617
GO:0016053	organic acid biosynthetic process	BP	305	28	3.84008593425867e-06	0.00413404451252617
GO:0031984	organelle subcompartment	CC	1323	78	4.10980183275979e-06	0.00421372110767386
GO:0017076	purine nucleotide binding	MF	1759	97	4.37698014990211e-06	0.00428367089125192
GO:1901265	nucleoside phosphate binding	MF	1926	104	4.70886346672126e-06	0.00440811040443372
GO:0006082	organic acid metabolic process	BP	833	55	5.28212278177696e-06	0.00473872440060166
GO:0008202	steroid metabolic process	BP	294	27	5.67158921614502e-06	0.00482697405738799
GO:0019637	organophosphate metabolic process	BP	963	61	5.89323434624814e-06	0.00482697405738799
GO:0019752	carboxylic acid metabolic process	BP	816	54	6.05305371554854e-06	0.00482697405738799
GO:0043168	anion binding	MF	2202	115	6.44190036369968e-06	0.00495359131181492
GO:0032787	monocarboxylic acid metabolic process	BP	597	43	7.28065040192434e-06	0.0054055063380632
GO:0036094	small molecule binding	MF	5289	235	7.98363905264291e-06	0.00572174881274708
