gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mmp14	3.50212137973108	7.91557277132859	16.5235219488766	1.92375557535657e-13	3.0789707983582e-09	20.3498187444316
Ch25h	3.03651517618501	8.08182251958952	14.0808548035118	4.13619358197346e-12	1.56828646220737e-08	17.6073751829153
Gpnmb	3.07556583277218	9.67094250457451	14.0025302305296	4.59652953858847e-12	1.56828646220737e-08	17.511134390682
Lhfpl2	2.97565283481204	8.45531212631589	13.9553459268385	4.8993641431033e-12	1.56828646220737e-08	17.4528876954833
Saa3	3.65359028767654	8.39004919421117	14.403681835353	2.69084855561792e-12	1.56828646220737e-08	17.9982392993901
Ccl7	3.05256006084923	8.32017394660023	13.819234921065	5.89526201487474e-12	1.57256114246784e-08	17.2837215599167
Il7r	3.3192382280093	8.70939934583396	13.6995811752467	6.94517026647185e-12	1.58796357306974e-08	17.1335929941983
Bcl2a1b	1.94539044487253	10.5956562621449	13.3710090045293	1.09587611113214e-11	2.19243714483374e-08	16.7143941905353
Spint1	3.60769656283797	8.71396567730204	13.2774190222483	1.24996237298598e-11	2.2228497532934e-08	16.5930961091352
Dab2	4.044160375076	8.10446049245453	13.0761722928226	1.66284697129376e-11	2.66138657755566e-08	16.3293681768128
Cd63	3.55911223422709	7.9679980866195	12.8718339457019	2.22982114678595e-11	3.24438976857356e-08	16.0574739607797
C1qa	4.0437107020067	8.25132251081939	12.7928232316749	2.50014981981983e-11	3.33457482218469e-08	15.9512132495121
Lrp12	2.53085679527185	10.91692547063	12.4400065709667	4.19619301335461e-11	5.16615916759543e-08	15.4688808015861
Slamf9	2.92311210096042	9.90629195973736	12.3331295090957	4.91991198146065e-11	5.62451366166269e-08	15.3202017300111
Igf2r	3.29769527467759	8.85541910074716	12.2666285725988	5.4348463405503e-11	5.79898104536717e-08	15.2270781916776
Cxcl16	2.61117198878534	9.10828646294559	12.0613161731619	7.40965751871908e-11	7.41197303669368e-08	14.9365723559195
C1qc	3.69630658717289	7.80532142081098	12.0213308708338	7.8743975267023e-11	7.41351367146296e-08	14.8794630348843
Bcl2a1d	2.47913623917656	9.31407390597061	11.8156523875957	1.07938640774782e-10	9.12625161142362e-08	14.5829209639897
Rai14	2.54562310189872	8.64258743756439	11.8132454060729	1.08340381516432e-10	9.12625161142362e-08	14.5794228715109
Ccl12	2.08170000332163	10.0042544999402	11.7192839134769	1.25304722961528e-10	1.00275104549963e-07	14.442361006869
Clec4n	1.81451638845049	8.87611636256588	11.5256408021779	1.69579320529945e-10	1.29243667861036e-07	14.15675006265
Cd72	3.37782164999743	8.35180663993831	11.4148997523763	2.01957750338782e-10	1.46924263371464e-07	13.9914889579586
Rgs1	3.18798866414286	9.61885389289282	10.9605421707019	4.19171830653255e-10	2.91688919548059e-07	13.2984432801742
C1qb	3.06298133360453	9.38651501878035	10.6193752368314	7.35876259315013e-10	4.90737480430699e-07	12.7617735673937
Hs3st3b1	2.25988805970952	8.57799667658217	10.5091648681206	8.85004779097729e-10	5.66580059578366e-07	12.5853472512073
C3ar1	2.24754231367619	10.1183212051329	10.2295846256391	1.42201332270064e-09	8.75358585762454e-07	12.1309502960658
Dhfr	2.380079040148	7.43567069390422	10.0868839104038	1.8176933309572e-09	1.03900649149893e-06	11.8951845676757
Igf2bp2	2.22910557123882	8.88459149926194	10.1005861572489	1.77516531822239e-09	1.03900649149893e-06	11.9179367405434
Ptms	2.10585557970167	7.87848263560188	10.0043776677639	2.09716056663231e-09	1.11883516229834e-06	11.757671674935
Spp1	3.23372883848638	9.20777630629062	10.0221577247905	2.03337573103574e-09	1.11883516229834e-06	11.7873802689779
Nt5dc2	2.67082313145072	8.64871329763045	9.92526125047861	2.40721886335771e-09	1.24282380348517e-06	11.6249773675112
Lipg	2.10546485729944	9.08332409178099	9.86641871781111	2.66846466742092e-09	1.33464928131475e-06	11.5257558859359
Nr1h3	2.10032314566881	8.41943046229176	9.83652628718795	2.8122945243715e-09	1.36396284432018e-06	11.4751765725062
Cd276	2.09454248703779	7.91546825284681	9.77730997462016	3.12148985005757e-09	1.37173279796537e-06	11.3746324025733
Fblim1	3.37705658321445	6.63582510813302	9.80951868350885	2.94916753343021e-09	1.37173279796537e-06	11.429377374018
Hpgd	-2.01408370481135	9.00630576577626	-9.77822269928545	3.11646538161239e-09	1.37173279796537e-06	11.376185642455
Pdcd1lg2	2.92061215412761	6.204922782517	9.76837168685249	3.1711411136969e-09	1.37173279796537e-06	11.3594157455238
Arg1	4.5307607480644	7.22897037912655	9.72425974313954	3.42846831148156e-09	1.44401671908585e-06	11.2841640913513
Stra6l	2.72420191091442	6.97791519171592	9.70654775861993	3.5378063426499e-09	1.45186129523363e-06	11.2538761723924
Ms4a7	2.40239320215828	9.07914608418441	9.66088876547054	3.8366819629203e-09	1.53515237041348e-06	11.17560586108
Serpina3g	2.31939458179268	10.8301948573968	9.63269489368441	4.03421667073035e-09	1.57482043451315e-06	11.1271361947836
Nfe2	-2.7211866083151	8.44720095566488	-9.47644674908248	5.33764838688066e-09	2.03402529600059e-06	10.8565914608911
Bcl2a1c	2.22070696170027	9.34259106379595	9.45500234405942	5.54802692327919e-09	2.06502723039729e-06	10.8192039908445
Ecm1	2.50133267627104	9.52920482295659	9.3394824931882	6.83910907107717e-09	2.48772592460432e-06	10.6167285559538
Irf4	-2.34554980344547	8.53038038577274	-9.31874687667533	7.10206315224497e-09	2.52596712781513e-06	10.5801926470468
Bcl2a1a	1.91597650743747	8.37339840482213	9.28239766228226	7.58862261397526e-09	2.56232403964929e-06	10.5160043150984
Gca	2.2662398348306	8.18200202915448	9.27551563416	7.68457069060706e-09	2.56232403964929e-06	10.5038311748588
Itgax	2.28844571146359	9.11754872479545	9.28503663719612	7.55216082962041e-09	2.56232403964929e-06	10.520670497834
Acp2	1.48283412855131	9.45441973024236	9.18560147906221	9.060376908313e-09	2.893810125227e-06	10.3441926290242
Gdpd1	2.8627804297032	7.04302549630937	9.17603204232597	9.22113816848342e-09	2.893810125227e-06	10.3271372315746
Spsb1	2.86362946887935	7.07641296643192	9.17808962175454	9.18632408285584e-09	2.893810125227e-06	10.3308054723799
Eno2	3.13802229255145	6.44372680498861	9.14039412340518	9.84632743789536e-09	3.03058597391375e-06	10.2635097637099
