gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
1700001K23Rik	-0.975152766478141	5.22824539937832	-3.89052555784676	0.000854775659660627	0.0125973153157167	-0.891463856526412
1700025G04Rik	-1.45872436456189	6.07359050278855	-4.36016543993017	0.000279396756080865	0.00545334765984664	0.197905851157576
2900060B14Rik	-0.83625744323531	7.66864815824053	-3.18076005557493	0.00453374736309195	0.0430383312848675	-2.49632532007198
6030458C11Rik	-0.833386921904246	7.13871160384438	-3.32863097316587	0.00321642617702132	0.0338899940508402	-2.16884589171956
6430548M08Rik	-1.1024420942734	9.92280643616863	-5.24382928193949	3.46939306538892e-05	0.00112632121727281	2.24582130699329
9130004J05Rik	-1.27109171629275	9.16845397770166	-4.81650701664194	9.4604194885934e-05	0.00243430890538484	1.25922706221587
9130008F23Rik	-1.90064304936636	5.87357597516677	-5.39273578960348	2.45450196646037e-05	0.000857735894611314	2.58666856759939
Aacs	-0.947832127266484	6.59751906004342	-3.47142933473088	0.00230276588823072	0.0266827834617333	-1.84854235574979
Abca3	-0.918037365929226	8.98146077603632	-4.45371627933238	0.000223634461332779	0.00459469775819143	0.415665803604715
Abca6	-1.17615180210686	5.6145166076085	-3.55444446587209	0.00189431303602061	0.0230909978229321	-1.66076425360763
Abca7	-1.27912399263184	9.07694985328194	-5.79499098770035	9.74349120282766e-06	0.000431576432905282	3.49738401738899
Abca9	-2.78580621342018	8.32648039916753	-8.45460098097198	3.59072722714263e-08	8.1323014134432e-06	9.00464599275934
Abcb7	-0.915098036609407	10.5515983271186	-6.06547232825345	5.28727089664195e-06	0.000279773179517157	4.10020812021005
Abcd1	-0.698738948890139	9.02969780464003	-3.70231368176221	0.00133590772110923	0.0176028172478868	-1.32387374509026
Abcd2	-2.4121535169653	7.55248957352652	-8.44493571401693	3.65839238842806e-08	8.1323014134432e-06	8.98643069155858
Abtb1	-1.11815237632894	6.92924876814268	-3.85843083424893	0.000922514828148622	0.0133618550448133	-0.965438708893078
Ace	-1.37487032598739	8.14800710841038	-5.08280303219736	5.05496254205627e-05	0.00149270618977141	1.87534836931792
Aco1	-1.05126885040282	8.41647886912432	-5.62772707318498	1.42781349372185e-05	0.000577074620379246	3.12061956392689
Acsl3	-1.00653789263337	6.79551460077651	-4.24244814387716	0.000369807642117856	0.00674888405028082	-0.0759535439791854
Acss2	-1.39533524201317	8.12647479681196	-5.86799422812344	8.25469648057467e-06	0.000381839355987276	3.66089605312871
Adam4	-1.4174920128562	6.15891457432372	-3.63823983926811	0.00155449093842352	0.0197457360868797	-1.47020265058036
Add3	-2.39522990350381	10.4091333789573	-8.63007485244502	2.56391588804675e-08	6.4117927794044e-06	9.33304242310752
Adgre4	-1.18049278482819	11.8781182176106	-5.51689704241073	1.84222866573141e-05	0.000695397872524323	2.86942928935987
Adpgk	-0.94952391108499	8.67926234616311	-4.59195311714407	0.000161019954804185	0.00356448738124618	0.737403619481257
Adrb2	-0.935792452080939	10.0757109028191	-3.49893309612656	0.00215867471910061	0.0254790478460216	-1.78644817239515
Aff4	-0.759266820315313	8.03631987721277	-3.29321667660001	0.00349299937672081	0.035882833776904	-2.24769212767674
Ahr	-1.97303137026941	8.46586087249509	-6.55656012571572	1.78243233644498e-06	0.00012908520156019	5.17219892325011
Ahsa2	-0.787792289154395	8.06183674247717	-4.00821651780704	0.000646051787238831	0.0102275557415999	-0.619517627893827
AI467606	-1.40998251982169	8.7131660864357	-6.63897044310569	1.48958759443239e-06	0.000114071049994691	5.34905395265523
Ak3	-1.08211963895327	9.74939325591908	-5.89203184565339	7.817117503978e-06	0.00036972349226864	3.71460714919797
Akap9	-1.24859971021221	7.67948025181047	-5.60125575410852	1.51724245667144e-05	0.000593266323608656	3.06073188903944
Aldh2	-1.16394551545408	10.5555830419168	-5.44654175602108	2.1670973000202e-05	0.0007920108708207	2.70937379335113
Amigo1	-0.994614471758237	7.37918414842679	-4.0704177749963	0.00055711972686294	0.00920196205205506	-0.475423657792511
Ampd3	-1.63709189531336	10.1183971081655	-7.1879863275633	4.6095841587774e-07	4.98167253614214e-05	6.5036790656386
Anapc1	-1.02591241723879	5.66988254388704	-3.21368576854724	0.00420126278288541	0.0409093103260289	-2.42381490427492
Ankzf1	-0.82178302228373	6.80135555097522	-3.1387197275498	0.00499556494652642	0.0462151884615237	-2.58854458794705
Anp32a	-0.801183606640997	9.61516559225326	-3.86668204425403	0.000904607054745299	0.013150078030153	-0.94642896427723
Ap1ar	-0.665881242044977	8.96541913777797	-3.81258271794542	0.00102861906581554	0.0144286136269743	-1.07095542389435
Ap2a2	-1.12270822942701	8.25088067753353	-5.33563581975506	2.80213994918196e-05	0.000950174785734264	2.45617986055776
Ap3m1	-1.16894983208829	8.76527240690627	-5.87555389012438	8.1144458097705e-06	0.000377534026701677	3.67779473093909
Aph1b	-1.74033902299363	6.08969141422229	-6.2981645713407	3.14670629160415e-06	0.000194451869486967	4.61192713706388
Apln	-1.20069228793145	5.98359202700919	-3.57803204556073	0.00179187405799259	0.0221288150448854	-1.60722132520033
Aplp2	-0.675904473558656	12.2962688243258	-3.8728667653532	0.000891410893564337	0.013017364371804	-0.932176291712556
Arhgap21	-1.50732006625141	7.59001551593555	-5.75832786335247	1.05920027165883e-05	0.000455712374943537	3.41504928728124
Arhgap23	-1.01824142954539	7.64287483219763	-4.05124289717205	0.000583148746541509	0.00951406288317722	-0.519867192868108
Arhgap26	-1.20818218316499	9.75879662285275	-4.56106085210359	0.000173274376573232	0.00379387596324021	0.665521076699083
Arhgap39	-0.703247989427735	10.4608043499625	-4.36630392006089	0.000275343482672083	0.00540057897079251	0.212192644981974
