gene	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	already_down_in_TX91	pass_step5
Tshz1	-1.15551680580072	0.00144161604083924	TRUE	FALSE
2900060B14Rik	1.37043046295672	0.00200447351843263	FALSE	TRUE
Tfdp2	-1.21623362129027	0.00376829709617889	TRUE	FALSE
Irf4	-1.1875690694036	0.00533719161833879	TRUE	FALSE
Jade1	-1.09035264776162	0.00533791780653306	TRUE	FALSE
Rpl22	-0.831511219990009	0.00536530647758052	TRUE	FALSE
Bcl7c	-0.897857787203636	0.00635653499140029	TRUE	FALSE
Slc12a2	-0.991607994298654	0.0091077137124115	TRUE	FALSE
Timp2	-0.811608163948614	0.010987187945736	TRUE	FALSE
Amigo1	-1.06081472494002	0.0111086396852519	TRUE	FALSE
Hpgd	-0.88985618913703	0.0115999209506468	TRUE	FALSE
Tial1	-0.691183672469608	0.0129381621363566	TRUE	FALSE
Tmem106b	-0.858961755195924	0.0129381621363566	TRUE	FALSE
Prorsd1	-0.778675327336948	0.0131983519361145	TRUE	FALSE
Zfhx2	-1.11307679666073	0.0173360169604989	TRUE	FALSE
Sgms1	-1.07403317356416	0.0185282808298738	TRUE	FALSE
Kif23	-1.0783376255707	0.0203088969907622	TRUE	FALSE
Prrc2b	-0.507416274735384	0.0208074287477846	TRUE	FALSE
St6gal1	-1.32226830895609	0.0214453373294492	TRUE	FALSE
Pacs1	-0.980166308885888	0.0247061148840959	TRUE	FALSE
Lpin1	-0.927495638731939	0.0249957308536348	TRUE	FALSE
Slc12a6	-0.591010588587672	0.0250056366143947	TRUE	FALSE
Satb1	-1.0075148329687	0.0256922906725034	TRUE	FALSE
Slc46a3	-0.902236635351032	0.0277543392051914	TRUE	FALSE
Rfx1	-0.595885392014372	0.0315364919654134	TRUE	FALSE
Pot1a	-0.998723819470116	0.0351035015141763	TRUE	FALSE
Top2b	-0.608760782881619	0.0362997392224066	TRUE	FALSE
Dnajc28	-0.867370544027644	0.0364960820045189	TRUE	FALSE
Zfp12	-0.662213346970795	0.0368855504261794	TRUE	FALSE
Plekhg3	-0.627982851902717	0.0394553390485109	TRUE	FALSE
Zer1	-0.58492103255303	0.0394738749202786	TRUE	FALSE
Bnip3l	-0.639357983364429	0.0437279562890826	TRUE	FALSE
Dusp22	-0.853485305776033	0.0439041549381814	TRUE	FALSE
N4bp2l1	-0.554298972831432	0.0462086651113747	TRUE	FALSE
Syncrip	-0.51525048889013	0.0482628427488558	TRUE	FALSE
Ticam2	-0.806466574838119	0.0490285680986323	TRUE	FALSE
Xpc	-0.780083966021733	0.0494061877566676	TRUE	FALSE
Rpa2	-0.618479881390925	0.0495903414168892	TRUE	FALSE
Tppp	-1.01657286757765	0.0516328883333814	FALSE	TRUE
