gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
0610009L18Rik	-0.0847760809992453	4.69527827085687	-0.549019517067741	0.588592709816716	0.815480117781903	-7.18408189502084
0610030E20Rik	0.00699795238354284	7.97876991196154	0.0367394599518493	0.97102834526237	0.988383675939339	-7.33929448327917
0610040B10Rik	0.0309946990441725	4.98753686463379	0.165999258402546	0.869693141285834	0.953386214128751	-7.32565389828274
1110002L01Rik	-0.644554239670558	5.38761232120257	-2.28227250306791	0.032638587028522	0.154205288667742	-4.90928449224236
1110004F10Rik	-0.119361263658668	10.8823808478044	-0.781779392530483	0.442784087166216	0.716485624820068	-7.02607246836618
1110006O24Rik	-0.387096784187644	4.9745790758809	-2.06326881228669	0.0512422520717992	0.206634478309183	-5.31596739868383
1110020C17Rik	-0.0760665391258097	4.88175644367099	-0.392430922568958	0.698564631732241	0.875670209613021	-7.26006789426364
1110032F04Rik	-0.00462954406151184	4.57208309227008	-0.042840286419855	0.966220271980853	0.986624693955184	-7.33904162212251
1110038B12Rik	0.402860042068816	9.04580609338513	2.09302957106961	0.0482505110811848	0.198828380498034	-5.26227038062581
1110038F14Rik	0.651714271802934	8.67939386622621	2.43302167039675	0.0236769021716311	0.123920477193249	-4.61484543926368
1110059E24Rik	0.00226046048641315	9.04706276901276	0.0131369707810027	0.989638446161717	0.996361787181121	-7.33990762485155
1110059G10Rik	0.0206578158689599	6.27593967480278	0.0661855419714582	0.947835590040265	0.980361620183892	-7.33771609535675
1110065P20Rik	-0.0726676943111713	5.56693780953996	-0.296910662638556	0.769355735790844	0.910032159782158	-7.29417373498683
1300002E11Rik	-0.245860351719224	6.66784103264596	-1.00604742109011	0.325470610734012	0.615521342880523	-6.82478074388337
1500009L16Rik	0.1373112568954	4.61442188128738	1.12503439969324	0.272854451886763	0.560454212249867	-6.69931196108852
1500011B03Rik	1.62786390131861	8.19386566971268	7.91860437189045	7.65613306957838e-08	4.42369710392065e-06	7.94757710052326
1500015A07Rik	1.36748995226821	7.35961062317325	5.24564271200984	3.03031815942093e-05	0.000677690043653328	1.89767960685333
1600002D24Rik	0.097675850141016	4.73566010148352	0.63116483345173	0.534519498479777	0.782321605089119	-7.13438989833337
1600012H06Rik	0.0480370000978017	8.73674878667394	0.220074323956499	0.827868719217963	0.93438806680074	-7.31479894834356
1600012P17Rik	0.206580074718776	4.62887735198785	1.73385507237615	0.0971183007763056	0.311623577370644	-5.87386892130116
1600014C10Rik	0.719188414989484	11.4523523197824	4.53973915003628	0.000166036801656958	0.00273397017543171	0.195371809817912
1600025M17Rik	0.00730486230917471	4.80056979512232	0.0520317612513575	0.958978993706175	0.984317244549948	-7.33858747062922
1700001F09Rik	-0.296214170606152	5.30944927301978	-1.26497126866839	0.219286560493658	0.498125563557519	-6.53593325240589
1700001J03Rik	0.186577182581635	4.98838641114658	0.812191237062863	0.425495063870627	0.704463483733256	-7.00154402837576
1700001J11Rik	-0.647610347026602	5.66135657161304	-2.36571828724517	0.0273523307337625	0.136590968297619	-4.74767173981629
1700001K23Rik	-0.290409685590982	4.83583049453794	-1.6742633396874	0.108420767720418	0.332981782774013	-5.96712385247862
1700003F12Rik	0.127922333070079	4.7803607847046	0.811525999762992	0.425868684886109	0.704845496318084	-7.00209000187334
1700003H04Rik	0.0676893378453025	4.83402920269593	0.370012248150093	0.714957074833	0.883961991711252	-7.26891150060328
1700007E05Rik	0.644985367845589	5.15432425103646	2.23601384168043	0.0359576158641131	0.16445858937345	-4.9973482998821
1700008J07Rik	-0.132781084023452	4.77719114151618	-0.944925810076728	0.355091321655775	0.642885323317965	-6.88427163097508
1700009N14Rik	0.166112332007439	4.76786524745665	1.12205656122995	0.274090767808438	0.561908894424754	-6.7026050556394
1700010I14Rik	-0.0677877550014774	4.65332431088381	-0.589805690149297	0.561407497817653	0.799230107495658	-7.1602464900572
1700012B07Rik	0.0529795760207667	4.69190720164592	0.399656649964605	0.693312645199046	0.873674317766596	-7.25710825174035
1700012B09Rik	-0.00687202186274405	4.88639881671789	-0.0381618313867773	0.969907263902619	0.98816410745168	-7.33923899554014
1700013G24Rik	-0.000895952071618744	4.65873604283787	-0.00645397124709129	0.994909427897555	0.998355132642307	-7.3399758190568
1700016L21Rik	-0.0432617174126353	4.89333936359305	-0.226376751638674	0.823025386856107	0.93360380734966	-7.31333675422593
1700017B05Rik	0.117048222891229	4.76186159845519	0.624613591739995	0.538731786412313	0.785568717340476	-7.13859826889437
