gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
0610009L18Rik	0.035354158567416	4.74069955568444	0.253821604184849	0.801942784479046	0.956652372987834	-6.76968897483703
0610030E20Rik	-0.193279175581461	8.7708861680631	-0.98769122692508	0.333826631075882	0.757235835329991	-6.31030731538997
0610040B10Rik	-0.385177482558784	5.93471990582235	-1.26513947084275	0.218791603001945	0.662459251995104	-6.00550201530433
1110002L01Rik	-0.396811572654246	6.44160473747284	-1.43783232818315	0.164271125942039	0.595926125103241	-5.78305985507015
1110004F10Rik	0.0569838129900706	10.7991028591337	0.346742240778937	0.732012975060663	0.934105451908646	-6.74101574918814
1110006O24Rik	0.0916495949116598	5.4591414325174	0.346260189701419	0.73237028110907	0.934105451908646	-6.74118718141564
1110020C17Rik	-0.0400740809668703	4.90177713483338	-0.243552400457881	0.809788521496518	0.958509765988723	-6.77231693574775
1110032F04Rik	0.418191785634912	6.07319418669176	1.25787955175242	0.221357845970008	0.664835211484607	-6.01431970576876
1110038B12Rik	0.86857746229879	8.80720996110176	3.78307178949046	0.000994004632472496	0.028257627251727	-1.11020847027717
1110038F14Rik	-0.204131862373922	8.8024000138953	-0.949870418990858	0.352289150712829	0.770095800608144	-6.34658071158005
1110059E24Rik	-0.045187609390247	9.89254405091151	-0.228320768361305	0.821463041791353	0.960959100584368	-6.77601599071291
1110059G10Rik	-0.509925103052492	6.79367341738809	-1.60035134014562	0.123495453573146	0.533052907221082	-5.5523821755472
1110065P20Rik	0.166460355797301	5.26415609445	0.744930319715787	0.464038921875267	0.829290178559787	-6.52009127113211
1300002E11Rik	-0.0538500770118704	6.9792771732018	-0.174558066839902	0.862991011568052	0.971660996625612	-6.7871706504306
1500009L16Rik	0.419546053619652	5.65021230585942	1.54179465608455	0.137097688445694	0.556069058178747	-5.63779725207756
1500011B03Rik	0.390580257833443	8.54626366102836	2.1291834735767	0.0444361599305708	0.330080604142186	-4.67483112813418
1500015A07Rik	0.010122484540414	8.89003960318135	0.0616770237639025	0.951365668390684	0.99227650019704	-6.800918619548
1600002D24Rik	0.0132194868986586	4.71326180689102	0.127346570171903	0.899799507636844	0.979266527137848	-6.79451696080744
1600012H06Rik	0.266094846702696	7.86133819103463	0.900470519464652	0.3774252093846	0.783000243638304	-6.39198849868594
1600012P17Rik	0.00085955239971991	4.64946926256681	0.00653093237320412	0.994846775989437	0.998682858039185	-6.80285915013103
1600014C10Rik	0.877464574959836	11.0237096372794	5.21250354977741	2.96338185053721e-05	0.00194380846384623	2.32685631505215
1600025M17Rik	0.0979920708439348	4.81521917948022	0.651880114231637	0.521094882609419	0.854149768794847	-6.58570234677314
1700001F09Rik	-0.273261864877544	4.85235228024082	-2.11116444098813	0.0461090612386959	0.336472022379437	-4.70759923428789
1700001J03Rik	0.211664668952195	4.85626645327569	1.20514624714858	0.240692859693854	0.682913088562034	-6.07704100892388
1700001J11Rik	-0.724033715643792	5.43338017666058	-3.36353326116261	0.00274851131973477	0.0590458294902184	-2.08906474104909
1700001K23Rik	-1.20514021876229	6.18749226289322	-3.90064949772414	0.000745258781217117	0.0230713090781044	-0.831169159595725
1700003F12Rik	0.249359890833935	4.77573398452262	1.80899500036651	0.0838599960233805	0.449340219736928	-5.2280425870302
1700003H04Rik	-0.0394618934435824	4.97006140383917	-0.137292101307991	0.892023376734105	0.9771658827847	-6.79316006462164
1700007E05Rik	-0.0530427440461425	5.02132739882978	-0.299594894372048	0.767241470539152	0.944929231910158	-6.75666431613121
1700008J07Rik	-0.08928443279944	4.88118264993395	-0.586506282251136	0.563384914856404	0.871895893303493	-6.62676121681984
1700009N14Rik	0.309125414852353	4.79465252143326	2.27516534897547	0.0327777697858391	0.286198036372134	-4.40276281442218
1700010I14Rik	0.0736994858406499	4.9700118365889	0.346501584620557	0.732191346541732	0.934105451908646	-6.74110136342982
1700012B07Rik	0.151615423052426	4.85947684740633	1.10899848460572	0.279166122931206	0.717874967466895	-6.18529340499312
1700012B09Rik	-0.404519026105916	4.80832604918095	-2.76868814465106	0.0110734362848598	0.150578035462346	-3.40680656234496
1700013G24Rik	0.00465747050559884	4.64717579508138	0.0349567519149115	0.972423080364375	0.996868912519756	-6.80225069553673
1700016L21Rik	0.0380727661922444	4.79783128924024	0.243489077869686	0.809836964682484	0.958509765988723	-6.77233280563366
1700017B05Rik	0.0550356120376252	4.58203044057753	0.563558379682496	0.57863917100162	0.878896804374179	-6.64017792526839
1700017G19Rik	0.219814541989267	4.62994400389035	2.1954685299504	0.0387427965442574	0.307884041058014	-4.55272670767672
1700017N19Rik	-0.0694166775729368	4.69846211577758	-0.64387545696036	0.526177913493274	0.856903600308519	-6.59095445297845
1700020L24Rik	0.277755508652155	4.71241189050739	2.26554404415498	0.0334505103631059	0.288936273203399	-4.42104492677619
1700022N22Rik	0.0742085838257047	4.85174054428252	0.505018985482976	0.618465640207861	0.896089205965213	-6.67204145747715
1700024G13Rik	-0.0739675166030205	4.71898327181807	-0.569506119575971	0.574665653014119	0.877626314550665	-6.63675042985788
1700025G04Rik	1.11280758154431	6.51230100468527	3.34685700253448	0.00286060454573321	0.0606410274893511	-2.12729188942909
1700028K03Rik	-0.490702230053725	5.83421087726424	-1.80602668013906	0.0843361775682162	0.450640357937523	-5.23286739601509
1700029E06Rik	-0.942689990140906	8.76684643898113	-4.94349245051488	5.71766788612088e-05	0.00316648008710604	1.67972835170882
1700029F12Rik	-0.299177055675555	5.28558910209484	-0.983275322850792	0.335947323559998	0.759281619382669	-6.31460954853165
1700029H14Rik	-0.177944466948967	5.00734143481394	-1.03369475838435	0.312282741604571	0.742547211317955	-6.26444218347995
1700029M20Rik	-0.242818869006019	4.72162829265763	-1.93712655885236	0.0654089046820316	0.400594639662342	-5.01428131075772
1700030C10Rik	0.116222356098255	7.1223573735218	0.428882669737244	0.67209464809013	0.916000857665174	-6.70836819532917
