gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
0610009L18Rik	0.13221512986981	4.74069955568444	1.01476436650177	0.321026875176247	0.905732402947313	-5.85509945579063
0610030E20Rik	0.0675332577948833	8.7708861680631	0.368934955868026	0.715631667362476	0.974775779059641	-6.29653689465334
0610040B10Rik	0.152459842463271	5.93471990582235	0.535339088586916	0.597677331514298	0.964829651425866	-6.22096007181224
1110002L01Rik	-0.588436279012633	6.44160473747284	-2.27939362135757	0.032486049772949	0.662741062393754	-4.00285316487807
1110004F10Rik	0.157837250463684	10.7991028591337	1.02674057689221	0.315475288761791	0.905559787491077	-5.84326634966721
1110006O24Rik	-0.191926442041089	5.4591414325174	-0.775180427586166	0.44631921586053	0.936509133408597	-6.06473975861879
1110020C17Rik	0.0543268438116069	4.90177713483338	0.352971216231227	0.727401539311495	0.975415995004898	-6.30234638732026
1110032F04Rik	0.364329727773424	6.07319418669176	1.17153196334338	0.253664933144935	0.887110656380373	-5.69036605467962
1110038B12Rik	0.068434406966249	8.80720996110176	0.318644559812118	0.752940653432549	0.977670870192263	-6.31397739863594
1110038F14Rik	-0.0939255451555354	8.8024000138953	-0.467232735708421	0.644835049000607	0.970709646280541	-6.25519083713014
1110059E24Rik	0.00167158730232941	9.89254405091151	0.00902923774314217	0.992875539480363	0.999366269625438	-6.36530658503951
1110059G10Rik	-0.138346985799237	6.79367341738809	-0.464167384238882	0.646995935938988	0.97104818189877	-6.2566244450169
1110065P20Rik	-0.0553719712531553	5.26415609445	-0.264905387425066	0.793498595579755	0.982222887731052	-6.32981805603395
1300002E11Rik	0.125583807082006	6.9792771732018	0.435194314504729	0.667575182777787	0.972293763300007	-6.26971710355943
1500009L16Rik	0.103493697862788	5.65021230585942	0.406590075706449	0.688157877380603	0.973825537354248	-6.28182935733071
1500011B03Rik	0.402959186921297	8.54626366102836	2.34833382601993	0.0280530113574584	0.644990850054806	-3.87311096130087
1500015A07Rik	0.0087839514394048	8.89003960318135	0.0572166183237694	0.954878679579146	0.99842821527583	-6.36368787878453
1600002D24Rik	0.0863946713156141	4.71326180689102	0.889724570279873	0.383045941272449	0.921898804576111	-5.9710215488602
1600012H06Rik	0.0941213411005801	7.86133819103463	0.340499999202149	0.736644624674568	0.977310605139131	-6.30670812674175
1600012P17Rik	0.0985016411782809	4.64946926256681	0.800096313946319	0.432037605460491	0.931945305064971	-6.04538634411943
1600014C10Rik	0.4087281013846	11.0237096372794	2.59565664376768	0.0163451321476302	0.544362068894004	-3.38966972951472
1600025M17Rik	-0.114245363201002	4.81521917948022	-0.81247751996808	0.425047075966882	0.928026863453805	-6.03555453417497
1700001F09Rik	-0.25385744869277	4.85235228024082	-2.0966643890853	0.0474961332956634	0.707407338688107	-4.3349723836916
1700001J03Rik	0.13086611190075	4.85626645327569	0.796552773288741	0.434051341056142	0.931946513163321	-6.04817404274009
1700001J11Rik	-0.0882608919907906	5.43338017666058	-0.438330026979592	0.665334614900478	0.972293763300007	-6.26834008375596
1700001K23Rik	-0.409647187493944	6.18749226289322	-1.41744200346468	0.170079339602621	0.862399289695136	-5.39074876083277
1700003F12Rik	0.0252808771639499	4.77573398452262	0.196064460819341	0.846323019686466	0.989220764630241	-6.34587079979588
1700003H04Rik	0.305394596052641	4.97006140383917	1.13586038747523	0.267991786595006	0.892991237140275	-5.72970258197471
1700007E05Rik	-0.163140916568857	5.02132739882978	-0.985070460909505	0.3350841123278	0.908074618234127	-5.88389261868526
1700008J07Rik	-0.108191002124474	4.88118264993395	-0.759773324179197	0.455292448530743	0.937736720791152	-6.07641727465502
1700009N14Rik	0.252559053602481	4.79465252143326	1.98717981680261	0.0592335426417903	0.747659976326383	-4.52516776628802
1700010I14Rik	0.0224792120246429	4.9700118365889	0.112984228422478	0.911046965362317	0.994567261687821	-6.35887623363444
1700012B07Rik	0.110785861468253	4.85947684740633	0.866299139938244	0.395487458717729	0.923751914302403	-5.9911696820516
1700012B09Rik	-0.238947522312772	4.80832604918095	-1.74837099558308	0.0940587843231559	0.807896887102355	-4.91479559294933
1700013G24Rik	-0.190413310779218	4.64717579508138	-1.52782719771991	0.140518546393478	0.847839774520268	-5.24083314452313
1700016L21Rik	-0.028326328223927	4.79783128924024	-0.193665075616258	0.848179120104613	0.989508569419586	-6.34634418825089
1700017B05Rik	0.13653344908808	4.58203044057753	1.4946177864842	0.148933871690767	0.849282869069181	-5.28689961670959
1700017G19Rik	0.0814530843737673	4.62994400389035	0.869709680241489	0.393660016760948	0.923713785365985	-5.98826745727613
1700017N19Rik	-0.0660566439619021	4.69846211577758	-0.655013915340213	0.519112266794179	0.952382279956887	-6.14988394175853
1700020L24Rik	-0.0173654469629527	4.71241189050739	-0.151422972785028	0.880994078861314	0.992218407537372	-6.35372635655953
1700022N22Rik	0.0601625514587143	4.85174054428252	0.437699228419876	0.665785085340593	0.972293763300007	-6.2686178737938
1700024G13Rik	-0.0768764361243965	4.71898327181807	-0.63277100795177	0.533273909488179	0.955635294031929	-6.16413886672236
1700025G04Rik	0.678526835538873	6.51230100468527	2.18162490780635	0.0398741768800665	0.694361369272328	-4.18275111510744
1700028K03Rik	-0.225560826847419	5.83421087726424	-0.887494727244366	0.384219102428146	0.921932796261896	-5.9729609796402
1700029E06Rik	-0.214819305843086	8.76684643898113	-1.20429882338954	0.241013646339493	0.887110656380373	-5.65328959494473
1700029F12Rik	0.211633442653732	5.28558910209484	0.743579017510089	0.464840132871951	0.939839101391558	-6.08845164062543
1700029H14Rik	-0.140635698369661	5.00734143481394	-0.873372218695636	0.391703639081073	0.923713785365985	-5.98513894854865
1700029M20Rik	-0.203905285660484	4.72162829265763	-1.73900175723148	0.0957262131248952	0.807896887102355	-4.92933231684677
1700030C10Rik	0.0975688023765215	7.1223573735218	0.38490696512939	0.703927503083151	0.974068541133829	-6.29047051520241
1700030J22Rik	0.00262574925177539	5.02827659406465	0.0140701338574974	0.988898278672323	0.999366269625438	-6.36524753577091
1700030K09Rik	-0.086816676480221	7.624351193432	-0.35709458545261	0.72435470312269	0.975073513577898	-6.30087014147481
1700030L20Rik	-0.0152770758826772	11.7807304143337	-0.109671907434109	0.913643707936261	0.994567261687821	-6.35925002550958
1700034P13Rik	0.280601182314342	7.00893989197957	0.785344057802474	0.440459103512609	0.935201373271332	-6.05691500939103
1700037C18Rik	0.175398813084418	5.00265621524357	1.04648026013162	0.306472611654403	0.903441646273122	-5.82348787710574
1700048O20Rik	0.178965422203653	4.86703550514856	0.989283086233981	0.333064422695027	0.908074618234127	-5.87985530290176
1700049L16Rik	-0.0786533101141114	4.61044433981949	-0.706886263279407	0.486907759317581	0.945082182746139	-6.11480535540531
1700052K11Rik	0.418549366895076	5.91818088534044	1.55082201525552	0.134923442333262	0.842129546842087	-5.20845829763872
1700056E22Rik	0.178324872897847	5.00466621356337	1.32632377997156	0.198063781988027	0.874980148648237	-5.5074356491998
1700057H15Rik	0.0083284132776642	4.81606887058707	0.0623858506069772	0.950807488078741	0.99842821527583	-6.36337440278715
1700060J05Rik	-0.116593661144157	4.62054674066064	-1.23387452979331	0.230007185531781	0.882925352941363	-5.61905671022843
1700066C05Rik	0.289391700289607	5.06602617387718	1.78865399771496	0.0871702059831042	0.800589679040984	-4.85162907872699
1700071K01Rik	-0.157815689175055	7.31669485833937	-0.697197166215742	0.492834409236767	0.945315288873952	-6.12155189023852
1700073E17Rik	0.0920571384641358	4.5491120165712	1.06063125325632	0.300131621517754	0.903441646273122	-5.80909958360166
1700084E18Rik	-0.326348325429667	5.61410859728034	-1.45290668089766	0.160080577260585	0.856745434669681	-5.34358898962982
1700084J12Rik	-0.0976636918003955	5.01911106169394	-0.612493232565832	0.546364017978483	0.958091974983467	-6.17672055552053
1700088E04Rik	-0.168043103896542	5.52752233765077	-0.621749783666309	0.540367501086219	0.957281833364997	-6.17102623020607
1700093K21Rik	0.243832273483678	4.71086422005406	1.30085586176764	0.206497928134152	0.878754028705057	-5.53887505811334
1700094J05Rik	0.154944264079417	9.41053843830616	0.614955186626898	0.54476569932277	0.958091974983467	-6.1752140947141
1700102P08Rik	-0.432589927038933	5.44682764039351	-1.31591863612256	0.201476576828526	0.874980148648237	-5.52034328965448
1700109H08Rik	-0.137997284345888	11.3177411483023	-0.839773733467167	0.40988658971598	0.927737807555457	-6.01337766197131
1700110I01Rik	0.0283823557211536	4.75048430093568	0.269125405867771	0.790290292897242	0.982222887731052	-6.32867892579632
1700120B22Rik	-0.386624017471057	5.76281803416935	-1.63512344052278	0.115963783822034	0.829640793625278	-5.0864914524102
1700123K08Rik	0.251864590616655	4.93403115924668	1.15581835484553	0.259904400748677	0.887110656380373	-5.70782666849014
1700123M08Rik	-0.272112631577522	7.02633915159368	-0.959872001211343	0.347340837543591	0.911707814352972	-5.90771271444936
1700123O20Rik	-0.0475538432876448	11.3879660332821	-0.321839717542061	0.750550691532725	0.977670870192263	-6.31294446154753
1810009A15Rik	0.24362411271603	7.84727526617853	0.86715747448482	0.395027029515322	0.923736833300956	-5.99044027793011
1810009N02Rik	0.109449505171813	7.99912463303746	0.495754082170818	0.624884667810185	0.968403367501976	-6.24140905247973
1810010H24Rik	0.266226975138928	5.14226946560607	1.28184700903718	0.212972568286814	0.879246059632843	-5.5620008546332
1810018F18Rik	0.439004203465247	5.24234929187046	2.42244261621779	0.0239133155795962	0.60621493560276	-3.73110921305217
1810019D21Rik	0.0551319947200746	4.74981025325054	0.530704246120348	0.600833096766114	0.964829651425866	-6.22343350403194
1810030O07Rik	-0.117075145170369	7.14715633460094	-0.510104411942799	0.614955418839471	0.968167378754413	-6.23417300737284
1810044D09Rik	-0.338521441105038	5.32717768417506	-1.18997400196247	0.246484941678043	0.887110656380373	-5.66960892207503
1810055G02Rik	-0.258678178202671	4.94523789614139	-1.60739391274494	0.121937907183088	0.834234745450965	-5.12717232450804
1810062G17Rik	0.0131158109795377	4.74801056365759	0.105759709507406	0.916711999249866	0.994754080827049	-6.35967720338165
1810062O18Rik	0.478198443445562	5.45691188126282	2.29741323246749	0.031269256842495	0.653639316896334	-3.96916626003873
1810064F22Rik	0.21419699121134	12.5483211949018	0.938616007139156	0.35791402109455	0.913516508349917	-5.9273647233307
2010204K13Rik	-0.120261499765914	5.23286909997158	-0.54778655028398	0.589242168108303	0.962897035901469	-6.21421372313092
2010320M18Rik	-0.0527645844363027	6.56287437820209	-0.18915970849482	0.851666774073393	0.99004720799607	-6.34721738280576
2200002D01Rik	-0.00250373672210813	4.94187811327951	-0.0151480361536597	0.988047849740332	0.999366269625438	-6.36523156457097
2210016L21Rik	0.301506303920822	5.04283057714097	1.76377978149855	0.0913705802558148	0.804113299223737	-4.89076066569277
2210408F21Rik	0.0426793181600624	4.76747506207527	0.250544766663554	0.80444403657861	0.982609082304865	-6.33356044055006
2210414B05Rik	0.264076933189948	5.9132823079723	1.03599041971159	0.311233849259386	0.903899608091721	-5.83404081376306
2300009A05Rik	-0.234975468484421	8.46643457097382	-1.29212846677922	0.209451397582317	0.879246059632843	-5.54952887460935
2310001H17Rik	-0.00369661590941206	8.25807689680745	-0.0164148903877312	0.987048362653989	0.999366269625438	-6.36521128735444
2310001K24Rik	0.3533922573613	5.16439142116044	1.61105584856564	0.12113452749933	0.834234745450965	-5.12183134271487
2310009B15Rik	-0.262694425393854	6.29308396056307	-0.947651155539319	0.353393568421962	0.913516508349917	-5.91906087578437
2310011J03Rik	-0.225863366194152	5.39237326495319	-0.932857818294765	0.360815139951153	0.915566155176416	-5.93261856680423
2310022A10Rik	-0.013645057221142	10.3211963437208	-0.0838610348514	0.933909980710593	0.995800352338273	-6.36178210521582
2310022B05Rik	0.274503877348546	5.78622790440329	0.948708748253392	0.352866965534661	0.913516508349917	-5.9180840938825
2310030G06Rik	-0.172471938357723	4.73140772558401	-1.54987167911553	0.135150983658071	0.842129546842087	-5.2098039763752
2310033P09Rik	-0.0358245533758188	7.15686966624099	-0.15576301258998	0.877611464784205	0.991856952011954	-6.3530509967542
2310040G24Rik	0.112635370838886	4.62659190850137	0.992457568868589	0.331548012169313	0.908036269203024	-5.876802524443
2310047D07Rik	0.1526265923478	4.83281179566214	1.26469011345692	0.218949777094227	0.879424619814602	-5.58262219741884
2310057M21Rik	0.0437852673817236	5.40024708980904	0.211889329018764	0.834104619775299	0.987706750481183	-6.34260317614001
2310061I04Rik	-0.126783818597822	6.00029737918127	-0.531306177954448	0.600422800197168	0.964829651425866	-6.2231134608725
2410002F23Rik	0.0175085339906254	11.5881038041075	0.117671582644291	0.907373985558443	0.99431828900365	-6.3583282887676
2410004B18Rik	-0.334096687513931	8.95211526890843	-1.62864563765484	0.117336955465691	0.830832919487496	-5.09604353507635
2410006H16Rik	-0.331597724545517	9.29659616439304	-1.35597255474778	0.188586754762925	0.870295468991528	-5.47018353547042
2410017I17Rik	0.160590449181885	4.75390967963318	1.35505004235241	0.188876153557073	0.870295468991528	-5.47135312053706
2410018L13Rik	-0.102869631477366	4.65715601618602	-1.16646387279095	0.255665066011103	0.887110656380373	-5.69602033755277
2410137M14Rik	0.032887195516178	5.01898000667678	0.178017877041708	0.860304955255957	0.99004720799607	-6.34928881781089
2510002D24Rik	0.13670316133614	4.96693438905726	0.905731768716045	0.374693174532429	0.920385717513903	-5.9569664249682
2510009E07Rik	0.3940257635182	6.30963220801093	1.36815194413529	0.184798656295928	0.868454088956194	-5.45467930404307
2510039O18Rik	-0.256357410460851	6.74493374676735	-1.02031877257089	0.318443699828721	0.905732402947313	-5.84962710625255
2600006K01Rik	-0.141125203577221	4.74809716613802	-1.24031806032588	0.227660655335758	0.881052836085868	-5.61150268551712
2610005L07Rik	-0.350668687424241	9.95662307336327	-2.23993324357771	0.0353031411359641	0.665729205940792	-4.07605327766901
2610008E11Rik	-0.0770947671967779	9.1832348654686	-0.416234509563197	0.681189440500078	0.972293763300007	-6.27783601006587
2610028H24Rik	-0.149297633092944	4.71691580592551	-1.18910355770344	0.246820376095478	0.887110656380373	-5.67059504202931
2610035D17Rik	0.177061988563068	8.78528447457093	0.965181037074935	0.344733448901775	0.910150034130764	-5.9027411637883
2610037D02Rik	0.113877815382483	4.67496886516978	1.03539621323304	0.311505105124052	0.903899608091721	-5.83463571303156
2610042L04Rik	0.0397649393014721	4.6935255804111	0.345065842323024	0.733255822459605	0.976759004449936	-6.30512925368136
2610203C22Rik	-0.0596594606907752	4.60123264834167	-0.595464636510048	0.557486635940998	0.959969432704205	-6.18698029474121
2610318N02Rik	0.414865739175958	4.9684569763178	2.23910633128869	0.0353644871071406	0.665729205940792	-4.07757875830242
2610524H06Rik	0.329747951460143	8.15785452825358	1.67095021820249	0.108610659857646	0.821276842650736	-5.03312995073317
2610528J11Rik	-0.0653853136041347	5.25520087497282	-0.281888533288562	0.780610321067685	0.982199169612899	-6.32512490206195
2700033N17Rik	-0.0399321228997476	4.59546173781556	-0.423285173036971	0.676113370697159	0.972293763300007	-6.27485833626176
2700049A03Rik	0.0803528592804774	6.0515584697483	0.26738902512724	0.791609934242168	0.982222887731052	-6.32914980117878
2700062C07Rik	0.0486331519754986	7.22483051128037	0.18512168347445	0.854795290744934	0.99004720799607	-6.3479825919953
2810001G20Rik	0.240249843332471	7.61058787093954	0.949734929305547	0.352356510294643	0.913516508349917	-5.91713536475384
2810002D19Rik	0.191244072976662	7.94406462988148	0.798504721977321	0.432941365074838	0.931945305064971	-6.04663989107101
2810021J22Rik	0.144255369122999	6.91515571616753	0.484668499643087	0.632605210930076	0.968923506794722	-6.24686064527627
