gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
0610009L18Rik	-0.0712896608095213	4.72949863279831	-0.593886367748898	0.558986166611829	0.737983469159641	-7.2882091594329
0610030E20Rik	-0.0436014513545153	8.53755469014208	-0.306082333262635	0.762581620134231	0.873148726692653	-7.42206754220052
0610040B10Rik	-0.0770096608995021	5.01082206806343	-0.436651983087645	0.666858625007759	0.814054785542612	-7.3717553846091
1110002L01Rik	-0.761242067076849	5.38743131569456	-3.3679726957667	0.00293423135008369	0.0174384858050622	-2.74488943494547
1110004F10Rik	-0.0916402582383129	10.4884287540445	-0.772199141049268	0.448673730752621	0.648926717937438	-7.1638125430038
1110006O24Rik	-0.216612805679336	4.90763809354503	-1.40398086176234	0.175065840634118	0.362240307608153	-6.48727122429999
1110020C17Rik	0.184328938052057	4.96614998352094	1.03308679739879	0.313414969737526	0.523316790048103	-6.92726939975543
1110032F04Rik	0.107523572712766	4.55773403167807	1.31353475792514	0.203294430253238	0.39864339086046	-6.60515878143663
1110038B12Rik	-0.315890578725916	8.28284316597059	-1.81041437187981	0.084688890133982	0.222625609801224	-5.88132833909588
1110038F14Rik	0.412610497907773	8.68509963407542	2.73211340485027	0.0125476040208234	0.0544387103153372	-4.14051259369427
1110059E24Rik	0.244867372607426	8.76568970506596	1.68509839552305	0.106901326344152	0.260776669431208	-6.08074492147609
1110059G10Rik	-0.74578031616412	6.21073056912909	-2.51105260922188	0.0203651289953882	0.0790358607107634	-4.59508129983296
1110065P20Rik	0.209713495186497	5.6257331165274	0.94454841592917	0.355722704423848	0.566437409591589	-7.01460809048106
1300002E11Rik	0.420920581391101	5.10838601407877	2.2658199379178	0.0342516235994	0.115751105512753	-5.07477252190899
1500009L16Rik	-0.00507622571103061	4.61378614588804	-0.0571850145141543	0.95494308105809	0.980237558513003	-7.4691864765864
1500011B03Rik	0.723281136100889	9.18224677792272	5.98187742466236	6.38099712667333e-06	0.000116318746027798	3.38131090080982
1500015A07Rik	-0.712939824939537	7.7056081215899	-3.86925792940479	0.000899087559343019	0.00672425064826403	-1.58488934222838
1600002D24Rik	-0.0688453139602552	4.74881437816374	-0.549493886612715	0.588512690491379	0.759602303847376	-7.31431066140254
1600012H06Rik	0.00515224926068125	8.66013643894725	0.0287380242441579	0.977347219528456	0.990962665289945	-7.47046310513907
1600012P17Rik	0.0143768051948634	4.6318923837563	0.110142986844337	0.913350758886492	0.957439015979716	-7.46455946785208
1600014C10Rik	0.656484168241698	11.6090514650088	5.22901873235993	3.59127652513983e-05	0.000473343020558396	1.6335840256547
1600025M17Rik	-0.121767601433377	4.77070310139405	-0.970865382545585	0.342759986007794	0.553954207190294	-6.9893922685695
1700001F09Rik	-0.0759967638897485	4.89115374125973	-0.53844264350463	0.59598183016383	0.765758545563311	-7.32050260638148
1700001J03Rik	-0.0890800071315339	4.81281355946092	-0.497591322997552	0.623986691959406	0.785588054910457	-7.34232757630245
1700001J11Rik	-0.656295158787552	5.49056167575126	-2.89244204608824	0.00876265259832304	0.0411158765277515	-3.79960380315948
1700001K23Rik	-1.43523825449118	5.22824539937832	-7.24301872958161	4.10733254349605e-07	1.14926324053592e-05	6.17121199461428
1700003F12Rik	0.139919524713644	4.93604501587472	0.768166468177144	0.451013715509666	0.65128612054	-7.16696710117268
1700003H04Rik	0.367138747300539	5.0023161840709	1.8196077228611	0.0832293399315286	0.220143048356324	-5.86628537653643
1700007E05Rik	0.380253329464981	5.4652847210111	1.51599478773523	0.144557172126088	0.318156977430974	-6.33235811091207
1700008J07Rik	-0.483387101920704	4.84239977359846	-3.47997005336842	0.00225703901944751	0.0140341528773339	-2.48906123086585
1700009N14Rik	0.253872205134659	4.78923814995448	1.92191947726007	0.068408444131832	0.191345184958052	-5.69520966817025
1700010I14Rik	0.00109005525207739	4.76915291228316	0.00883553957344963	0.993034466113433	0.99720897415896	-7.47085371363411
