gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
0610009L18Rik	-0.055183307118785	4.72949863279831	-0.363433152114068	0.719945443709456	0.857089299153404	-7.31484643127528
0610030E20Rik	-0.145359580649371	8.53755469014208	-0.806716588802368	0.428949285786771	0.650113687640195	-7.04906679952044
0610040B10Rik	-0.198703770333165	5.01082206806343	-0.890710028941662	0.383262420786306	0.607879798303917	-6.9771431877766
1110002L01Rik	-0.597784307594678	5.38743131569456	-2.0908857414995	0.0489877488599416	0.152331245483459	-5.31274806364299
1110004F10Rik	0.0565312017917154	10.4884287540445	0.376592127228355	0.710287355642578	0.851738152922714	-7.30979624209485
1110006O24Rik	-0.370398926273048	4.90763809354503	-1.89795883143677	0.0716540078828262	0.200848451915376	-5.64969725210755
1110020C17Rik	0.0778134300725215	4.96614998352094	0.344776660493152	0.73372075005601	0.864742312566011	-7.32170241413676
1110032F04Rik	0.0379858355328802	4.55773403167807	0.366859335565344	0.717426078086822	0.855960671145066	-7.31354858955446
1110038B12Rik	0.109662722085542	8.28284316597059	0.496867219806148	0.624488564867564	0.79825409158257	-7.25546295358681
1110038F14Rik	0.486867929505841	8.68509963407542	2.54864663461006	0.0187732492031054	0.0740246005163099	-4.43390598970274
1110059E24Rik	0.271150068138397	8.76568970506596	1.47517678869769	0.155127984531803	0.344932396836832	-6.30330264875759
1110059G10Rik	-0.957414798692682	6.21073056912909	-2.54850235879758	0.0187791290612732	0.0740268918502059	-4.43419825872082
1110065P20Rik	0.444347405666105	5.6257331165274	1.58219680465127	0.128677667680908	0.303401012261776	-6.14981239772
1300002E11Rik	0.502983253989964	5.10838601407877	2.14051742345404	0.0443114513712971	0.141390223538849	-5.22258974257309
1500009L16Rik	0.223090253636304	4.61378614588804	1.9868355271101	0.0602583244949784	0.177075185098724	-5.49722203780786
1500011B03Rik	0.605305082300459	9.18224677792272	3.95771667079425	0.000728550524637813	0.00537347979116507	-1.29465390747524
1500015A07Rik	-0.350039817101924	7.7056081215899	-1.50186972591085	0.148146233650548	0.334520382276667	-6.2658242360562
1600002D24Rik	-0.145471128705106	4.74881437816374	-0.917920982580037	0.369172049223119	0.595025040062036	-6.95242646170058
1600012H06Rik	0.159508456148899	8.66013643894725	0.70336987136656	0.489616916268826	0.700359169262897	-7.12834731556099
1600012P17Rik	0.208253596403965	4.6318923837563	1.26132493152967	0.22114182628413	0.436528728376603	-6.58337418519775
1600014C10Rik	0.454863105295905	11.6090514650088	2.86428785225384	0.00933686301502502	0.0426352332540586	-3.77537679035422
1600025M17Rik	-0.0625062339560385	4.77070310139405	-0.393994905637017	0.697591062414349	0.84365610956186	-7.30284538080107
1700001F09Rik	-0.207943521878421	4.89115374125973	-1.16474204294942	0.257295927468508	0.480291733045657	-6.69757920685392
1700001J03Rik	0.0560483118803106	4.81281355946092	0.247511339583627	0.806937025693468	0.90653167251925	-7.3516461967004
1700001J11Rik	-0.620424283333184	5.49056167575126	-2.16169422216647	0.0424420955591497	0.136842413260312	-5.18370999170812
1700001K23Rik	-1.69981617904153	5.22824539937832	-6.78168438375728	1.09392558649208e-06	2.47641853066559e-05	5.24625189171664
1700003F12Rik	0.228981005919441	4.93604501587472	0.99384004496165	0.33171159580229	0.55986429959991	-6.87986109892028
1700003H04Rik	0.253022919255253	5.0023161840709	0.991396589251341	0.332874774117208	0.56121992623469	-6.88227853632762
1700007E05Rik	0.239030396623007	5.4652847210111	0.753386482183962	0.459653049822519	0.675550694436126	-7.09126078046298
1700008J07Rik	-0.39792427189618	4.84239977359846	-2.26475322920922	0.0343276352879563	0.116797151952326	-4.99110972728634
1700009N14Rik	0.103033976538512	4.78923814995448	0.616652509065718	0.544148589409961	0.740133759079482	-7.18686940605262
1700010I14Rik	0.150237554941508	4.76915291228316	0.962726841224804	0.346733689641456	0.574655600467069	-6.9102376650302
1700012B07Rik	0.0112434668247658	4.67859951717743	0.0783623135838775	0.938288099364217	0.972335130136126	-7.38037457626818
1700012B09Rik	0.0280565961850279	4.94978195421971	0.151382807272487	0.881130969333129	0.943816166790036	-7.37162304222552
