gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
0610009L18Rik	-0.0659539857648044	4.8131891337334	-0.287047471608101	0.777126339144046	0.988465574058868	-6.49968243359747
0610030E20Rik	0.0181298160443042	9.1938273022052	0.0818341408263129	0.93561892346803	0.994789295820242	-6.53858558578466
0610040B10Rik	0.365145134415474	5.09270789952245	0.802672623248169	0.431910058563385	0.934526980220755	-6.2156639630878
1110002L01Rik	-0.408458362826658	5.11083057718538	-0.875562527900207	0.392004025273745	0.919590361624704	-6.15491163964421
1110004F10Rik	-0.205268013197291	9.66251069364361	-1.03630660345117	0.312833319081128	0.886974688381943	-6.00393179035481
1110006O24Rik	-0.0888430272975622	4.86415659841594	-0.325534009231105	0.748269761017859	0.987836798531351	-6.48759784242871
1110020C17Rik	0.947868442647893	5.06746532772601	1.85987024718122	0.0781707298749347	0.686698370901571	-4.9055380888896
1110032F04Rik	-0.0516415882873931	4.58904532367696	-0.301814817095382	0.766012115503134	0.988314969349566	-6.4952233568433
1110038B12Rik	0.119552943410411	6.78468388529129	0.249131537284191	0.80588358127298	0.988502699162614	-6.51011500350085
1110038F14Rik	0.521644656745988	7.65247126715684	1.50672330864657	0.148028907093791	0.7798560428032	-5.43754029082596
1110059E24Rik	0.184547737806145	8.24038022202503	0.669335365990733	0.511187383744957	0.947741120280181	-6.31393865942392
1110059G10Rik	-1.26030677410841	5.69202141001371	-2.08959024785085	0.0500826796718657	0.623803786636453	-4.51831547116848
1110065P20Rik	0.526156096433184	5.71015954986298	0.997717040185553	0.330726993424327	0.892176896975619	-6.04227140668547
1300002E11Rik	0.029817483579162	4.69119904501784	0.166717994176899	0.869321274467933	0.98965512114055	-6.52772737326406
1500009L16Rik	0.404203607010559	4.8699783794578	1.49788920994002	0.150293511023475	0.783334564958283	-5.44975638020084
1500011B03Rik	0.436311105668215	10.1670483437441	2.00852939886724	0.0587456166453256	0.64310779371302	-4.65830844144213
1500015A07Rik	-0.403034334815194	7.13673265941876	-0.83731738340499	0.412633889921494	0.927556939353021	-6.18739922246191
1600002D24Rik	0.0131031127244752	5.61455096731138	0.0295210982410794	0.97675126293151	0.996866910239453	-6.54158574553878
1600012H06Rik	-0.40529673825065	8.51357641056148	-1.73277497803078	0.0990398516143862	0.726784589745424	-5.10642669976058
1600012P17Rik	0.144541954302674	4.66290731491382	0.835122563221328	0.413838540043845	0.927919001597329	-6.18922281356092
1600014C10Rik	0.995778212524044	11.6018176143497	5.98998666319391	8.48795757451502e-06	0.00163674410819413	3.75350770544607
1600025M17Rik	0.454004914143024	4.88886856650917	1.53256988758445	0.141564289254619	0.772694054348641	-5.4014758701398
1700001F09Rik	-0.135105612977587	4.80476869640173	-0.691749666256949	0.497309141613026	0.943284286740516	-6.29859823975971
1700001J03Rik	-0.245451667432629	5.18917372956655	-0.598613413865233	0.556372032803114	0.958737049004427	-6.35916897461295
1700001J11Rik	0.578037216718965	6.18789845716929	1.05390284724615	0.304906360884015	0.882987508476393	-5.98601834628
1700001K23Rik	-0.134731385468918	5.43608383981787	-0.289439135278602	0.77532290535736	0.988314969349566	-6.49897529996442
1700003F12Rik	-0.458086892095174	4.94952763711299	-1.13133251099583	0.271738056516715	0.868629850628317	-5.90403070967438
1700003H04Rik	0.335766953156009	5.20674948181104	0.620247386798231	0.542329303013744	0.954812097610199	-6.34584683241552
1700007E05Rik	-0.0579511069895053	5.42998282367972	-0.116876744023156	0.908161946428268	0.992091458097361	-6.53500053408356
1700008J07Rik	0.404722498917997	4.96787402710415	1.22391047422304	0.235675980968862	0.845329426978799	-5.79938371230152
1700009N14Rik	0.177436098189157	4.7145081260266	1.05806525193037	0.303052439168452	0.882980823088735	-5.98174166592346
1700010I14Rik	0.225892241609335	5.18782426264512	0.593767032631743	0.559543905648768	0.96017330600368	-6.36209095555226
1700012B07Rik	-0.0711488816970629	4.6692177977939	-0.407593875140754	0.688044728760148	0.984559678653195	-6.45682857884253
1700012B09Rik	-0.325002587931937	4.76451909350681	-1.74910310524305	0.0961139780396117	0.721580684424613	-5.08118619630903
1700013G24Rik	-0.0571041012967459	4.679967382156	-0.230458646875483	0.820153667605264	0.988502699162614	-6.5147141333217
1700016L21Rik	0.177704235164569	4.85358913592312	0.588412553267727	0.563059295993409	0.96079581382902	-6.36529266446274
1700017B05Rik	0.11360636694705	4.95352835213059	0.421266101974925	0.678201892742615	0.981764152654361	-6.45104342937268
1700017G19Rik	-0.216359419101301	5.48130591657945	-0.429047328123737	0.672626276803023	0.980900552185184	-6.44766731165217
1700017N19Rik	0.258579022667918	4.88551632231204	0.904834180917401	0.376678488512591	0.910869379659437	-6.12914358260347
1700020L24Rik	0.766707608933034	5.33589527028116	1.23128230536714	0.232968887244761	0.842937907932255	-5.79074753328168
1700022N22Rik	-0.132465232854294	4.62358075214936	-0.815056701017867	0.424955739489498	0.932831433119618	-6.20568827430414
1700024G13Rik	0.0682301291454479	4.65946810030856	0.438002461665834	0.666233476570157	0.979471763345527	-6.44370687098721
1700025G04Rik	0.121052392343307	4.89496967477494	0.41764586371374	0.68080248459734	0.982174487649218	-6.45259350740616
1700028K03Rik	0.212733507379784	4.75496556348658	1.02179659321959	0.319479273753484	0.888759700395531	-6.01850071969758
1700029E06Rik	1.27553559404812	9.55375380550474	4.33624057745549	0.000342532800253666	0.0363062083977478	0.166947203062942
1700029F12Rik	-0.346877691400191	6.27013856634986	-0.575460173140248	0.571610228416684	0.961893180694827	-6.37292183040334
1700029H14Rik	0.026638878984989	5.63651810191291	0.0506307468143012	0.960138610774526	0.994822668036035	-6.54071424917469
