cell	contrast	n_total	n_sig	n_up	n_down	mean_abs_logFC_sig	median_abs_logFC_top500
Nh	AnyInf_vs_Sham	16005	556	393	163	1.61308942371487	1.35564800730235
Am	AnyInf_vs_Sham	16005	459	358	101	1.89366429575842	1.36023310585256
Ne	AnyInf_vs_Sham	16005	745	529	216	1.68836507422941	1.49400614054465
Mo	AnyInf_vs_Sham	16005	1072	677	395	1.65071416886074	1.80336067383069
Ly	AnyInf_vs_Sham	16005	313	284	29	1.58341412736477	1.10949099570457
Nh	PR8hi_vs_Sham	16005	979	448	531	1.64715351344977	1.72254656414892
Am	PR8hi_vs_Sham	16005	979	578	401	1.86059244697026	2.00172023379079
Ne	PR8hi_vs_Sham	16005	1193	800	393	1.84763657620304	2.08609908121522
Mo	PR8hi_vs_Sham	16005	1788	965	823	1.72321228751124	2.31769880122773
Ly	PR8hi_vs_Sham	16005	459	377	82	1.67857236657289	1.35672491506624
Nh	TX91_vs_Sham	16005	99	99	0	1.89311400564812	0.768673703180874
Am	TX91_vs_Sham	16005	87	86	1	2.20513397970404	0.653560796682413
Ne	TX91_vs_Sham	16005	139	129	10	1.85326500510966	1.10544209212759
Mo	TX91_vs_Sham	16005	373	321	52	1.67458552780871	1.23529896758508
Ly	TX91_vs_Sham	16005	77	77	0	1.73468667910663	0.717647434816874
