cell	contrast	method	n_up	n_down	n_total
Nh	TX91_vs_Sham	colleague_detection_p	0	0	0
Nh	PR8_0.6_vs_Sham	colleague_detection_p	0	0	0
Nh	PR8_10_vs_Sham	colleague_detection_p	0	0	0
Nh	PR8_100_vs_Sham	colleague_detection_p	0	0	0
Am	TX91_vs_Sham	colleague_detection_p	0	0	0
Am	PR8_0.6_vs_Sham	colleague_detection_p	0	0	0
Am	PR8_10_vs_Sham	colleague_detection_p	0	2	2
Am	PR8_100_vs_Sham	colleague_detection_p	0	0	0
Ne	TX91_vs_Sham	colleague_detection_p	0	0	0
Ne	PR8_0.6_vs_Sham	colleague_detection_p	0	0	0
Ne	PR8_10_vs_Sham	colleague_detection_p	0	0	0
Ne	PR8_100_vs_Sham	colleague_detection_p	0	0	0
Mo	TX91_vs_Sham	colleague_detection_p	0	0	0
Mo	PR8_0.6_vs_Sham	colleague_detection_p	1	0	1
Mo	PR8_10_vs_Sham	colleague_detection_p	0	0	0
Mo	PR8_100_vs_Sham	colleague_detection_p	1	0	1
Ly	TX91_vs_Sham	colleague_detection_p	0	1	1
Ly	PR8_0.6_vs_Sham	colleague_detection_p	0	0	0
Ly	PR8_10_vs_Sham	colleague_detection_p	0	0	0
Ly	PR8_100_vs_Sham	colleague_detection_p	0	0	0
