cell	contrast	method	n_up	n_down	n_total
Nh	TX91_vs_Sham	ours_neqc_limma	151	1	152
Nh	PR8_0.6_vs_Sham	ours_neqc_limma	546	227	773
Nh	PR8_10_vs_Sham	ours_neqc_limma	1154	737	1891
Nh	PR8_100_vs_Sham	ours_neqc_limma	781	774	1555
Am	TX91_vs_Sham	ours_neqc_limma	132	2	134
Am	PR8_0.6_vs_Sham	ours_neqc_limma	543	146	689
Am	PR8_10_vs_Sham	ours_neqc_limma	937	543	1480
Am	PR8_100_vs_Sham	ours_neqc_limma	993	603	1596
Ne	TX91_vs_Sham	ours_neqc_limma	222	10	232
Ne	PR8_0.6_vs_Sham	ours_neqc_limma	745	276	1021
Ne	PR8_10_vs_Sham	ours_neqc_limma	1192	764	1956
Ne	PR8_100_vs_Sham	ours_neqc_limma	1416	790	2206
Mo	TX91_vs_Sham	ours_neqc_limma	549	72	621
Mo	PR8_0.6_vs_Sham	ours_neqc_limma	1356	1147	2503
Mo	PR8_10_vs_Sham	ours_neqc_limma	1535	1279	2814
Mo	PR8_100_vs_Sham	ours_neqc_limma	1660	1546	3206
Ly	TX91_vs_Sham	ours_neqc_limma	104	1	105
Ly	PR8_0.6_vs_Sham	ours_neqc_limma	497	144	641
Ly	PR8_10_vs_Sham	ours_neqc_limma	470	72	542
Ly	PR8_100_vs_Sham	ours_neqc_limma	562	177	739
