gene	trend_slope	trend_FDR
Tspan32	-0.663991705745602	7.95430062621232e-05
Nme3	-0.550106314707731	0.0015083585210687
Lsp1	-0.53209070044448	0.000140022946412498
Klk8	-0.527353040616354	0.00423953753811613
Trem2	-0.524458054280658	0.00133566702510514
Ramp1	-0.49963982773584	0.000125646225895004
Gdpd3	-0.498354333927759	0.000722421572720056
Mgst3	-0.477673094674257	0.000363803203975838
Ccdc85b	-0.429914358702368	0.00915863766025357
Comt	-0.427637956190814	0.000312685423056645
Abhd14b	-0.410201754527357	0.00915863766025357
H2bc15	-0.404122820099971	0.00346637261989401
H2bc12	-0.403272951039346	0.000554699560844946
H2bc14	-0.401405555574387	0.00271360167990477
H2bc7	-0.376175681293568	0.00221434665765128
H2bc4	-0.375104180435233	0.00215271804361923
Lsm10	-0.371811616639029	0.00325954220880823
Acy1	-0.37109694011467	0.00831477386183628
H2bc11	-0.362097920166421	0.00619522647240439
H2bc9	-0.356327338478392	0.00270889541613995
H2bc6	-0.353288190910653	0.0149605534875016
Anxa3	-0.348868632333715	0.00599616951055112
Borcs8	-0.328256186522169	0.00879440699612964
S100a13	-0.322659448788877	0.00327180003360847
Gmfg	-0.305891653046325	0.00588640646147256
Mrps21	-0.273645428948217	0.0231285460196368
Glipr1	-0.272231147048179	0.0251600474033683
Mrpl33	-0.261092448589982	0.00611230772808558
Uqcrh	-0.24673767279948	0.0133257878365702
Pet100	-0.244576958130206	0.084374127534614
Lamtor2	-0.198923761971449	0.0644337611562741
