gene	trend_slope	trend_FDR
Abca9	-0.849734493105143	0.000443274583719725
Rasgrp2	-0.819291608273643	0.00521582721665301
Cx3cr1	-0.796064804182489	0.00109190409283035
Nfe2	-0.76933719901662	0.00152925077814071
Abcd2	-0.741665305131023	0.000368525353496362
Add3	-0.736342457054524	0.000276392038981831
Bcl11a	-0.72113043318381	0.00057487888102
Cd177	-0.713807437811875	0.00421320853589835
Rnf144a	-0.712402006816226	0.00277415099863671
Rfx2	-0.697485330995954	0.0119487568698117
Satb2	-0.680770171385389	0.00164578193611075
Arrb1	-0.665918430641938	0.000561067393367804
Klf2	-0.632456749924555	0.00084174075399392
Mbp	-0.623304439624128	0.000103963999783421
Insr	-0.623022452525613	0.000109194359806066
Upb1	-0.614623256178196	0.00669648802887491
9130008F23Rik	-0.580819647274355	0.00328448195063542
S1pr5	-0.576815318174816	0.00272478334611769
Ralgps2	-0.566122187936917	0.00314734883942079
Pdlim1	-0.561703305203671	0.00199635441644306
Arhgef18	-0.560093524550588	0.000527904182686697
Btla	-0.533917339674537	0.00482940869184734
Hgsnat	-0.525600181698066	0.000733050022889811
Hdac10	-0.515223273414587	0.00965425183514545
Aph1b	-0.514198931473905	0.00580808193761917
Tmc6	-0.511819253895303	0.0087831921311561
Cd209a	-0.494030772482081	0.00238060227805547
Rnase2b	-0.493676533381089	0.00669648802887491
Ampd3	-0.485023610225973	0.00162990609559663
Rab36	-0.474928044355842	0.00110674751004702
Stard4	-0.472088217419869	0.0200441256399841
Camkk2	-0.470298482599538	0.000255948593080342
Smim5	-0.468731466947314	0.0110540966259064
Pgm2l1	-0.468709184699562	0.0131110006728721
AI467606	-0.461669657687666	0.001493042272826
Tmcc1	-0.45833331292995	0.000815548370543358
Arhgap21	-0.458109059002716	0.00625210942030575
Haao	-0.451777573717991	0.00989591163406689
Kctd12b	-0.442353339774412	0.0160193669968491
Klhl17	-0.442145375818501	0.0152854791898076
Dipk1a	-0.44091314280478	0.00107371125178224
Gstm1	-0.440672531471029	0.0125515863874156
Sqor	-0.427179792800132	0.00125598806840295
St3gal3	-0.421611372838492	0.0140682799884387
Bmyc	-0.421329849666938	0.0023504384688833
Rfc4	-0.417933771647873	0.0519551828181465
E2f2	-0.383439178920355	0.00204335557640452
Ccdc125	-0.38200034131894	0.064995749998505
Rasgrp4	-0.368528296086973	0.00984523427091458
St3gal2	-0.35928112200994	0.0511487475619611
Dusp18	-0.355191415731352	0.0247017300617709
Fam89b	-0.348899931615032	0.00515229901110205
6430548M08Rik	-0.339441615503431	0.0106514033089872
Asap1	-0.332953240606164	0.0205734758532306
Foxred2	-0.328964777741958	0.0546374248188048
Cyp27a1	-0.326289550731448	0.00921874433918824
Plxdc1	-0.31795503605419	0.00487631724649358
Dock8	-0.315731944123724	0.00425535162649211
Cyb5a	-0.290937065728961	0.0590639556343142
Il16	-0.244758874675413	0.00920717577593119
Rin3	-0.239079948285338	0.0800772619275822
Hdlbp	-0.2354336191493	0.0474309779828055
Arhgap39	-0.214711572082756	0.0330270752723025
Rbbp4	-0.212578078638673	0.0568164477091673
Ccdc88a	-0.208578933437351	0.0220919269909018
