gene	trend_slope	trend_FDR
S100g	-1.02658798379037	0.000422917967332704
Rprm	-0.916621249398135	0.000596624617326931
Chia1	-0.83775706690281	0.00339135642131054
Sftpb	-0.728244842011362	0.000956720126606471
Mfap5	-0.648997242854485	0.00298095824103795
Cyp1a1	-0.62923063484281	0.00137905748058783
Ang	-0.578107047731212	0.00247857519222545
Dcn	-0.524015226380701	0.00148403443775627
Gpc3	-0.502283017138572	0.000950744464869812
Mfap4	-0.470209307505676	0.0372308266196531
Esm1	-0.460031285988804	0.00152634430526346
Cox6a2	-0.449673795885197	0.0327013074420672
Col1a2	-0.404257829337643	0.0258382778433586
