gene	slope	AveExpr	t	P.Value	adj.P.Val	B
Arg1	1.49975518252578	7.80012787268658	8.92185301459578	4.33652228076033e-08	0.000103963999783421	8.79659060083693
Bcl2a1d	0.812720237445515	9.65381177645023	8.87229266337912	4.71553538053451e-08	0.000103963999783421	8.71876313985041
Ccl12	0.684603863921164	11.3096910124462	8.89520123466352	4.53622135236252e-08	0.000103963999783421	8.75478098894775
Coxfa4l3	0.611309470042665	11.694239970461	8.88982236589098	4.57767493543044e-08	0.000103963999783421	8.74633077580661
Igf2bp2	0.687073291744741	9.67339247668226	9.05093623452533	3.49119997388714e-08	0.000103963999783421	8.99767165956695
Mbp	-0.623304439624128	9.76757358448542	-8.81505968249549	5.19657605915257e-08	0.000103963999783421	8.62845356061313
Saa3	1.20007051733202	9.22703740753024	9.95916094948872	8.02800210532975e-09	0.000103963999783421	10.3478920518058
Slc36a1	0.528508298257109	8.56132392987845	8.87523882572913	4.6920663134792e-08	0.000103963999783421	8.7233993905604
Insr	-0.623022452525613	8.77370866229278	-8.71729427438396	6.14026390662038e-08	0.000109194359806066	8.47310717263925
Ccl7	0.973263761783767	9.23722260714461	8.38492826713241	1.0925701472264e-07	0.000116577234709057	7.93469253038057
Gpr171	0.639429256438193	9.68600327769745	8.45763137156727	9.62026694491174e-08	0.000116577234709057	8.05383726633424
Kcnk13	0.934650407223657	7.59996773994636	8.41385085698938	1.03855612810973e-07	0.000116577234709057	7.98218285972736
Lipg	0.659390587052343	10.1882806021848	8.48718087737529	9.13713062954684e-08	0.000116577234709057	8.10204229882339
Nr1h3	0.672532022244167	8.92716893682823	8.41729020112823	1.03232065127384e-07	0.000116577234709057	7.98782206476227
St8sia4	-0.733851661574096	11.8245645377707	-8.53705941001146	8.37812527501135e-08	0.000116577234709057	8.18312279246329
Eno2	0.999883341606598	6.85822062028442	8.17184711654416	1.59261310494878e-07	0.000158378593425668	7.58103331612
Irf4	-0.735849619950977	8.06842377481453	-8.07903470186021	1.88015824747747e-07	0.000158378593425668	7.42489336296917
Nt5dc2	0.814938145075829	9.19957828660299	8.11609544744184	1.7593499146794e-07	0.000158378593425668	7.48739448199287
Serpina3g	0.733549660275866	11.616148925307	8.08134475846577	1.8723815384541e-07	0.000158378593425668	7.42879511894354
Clec5a	0.484995274494172	8.68468250579299	8.03060493461716	2.05117073761837e-07	0.00016414493827791	7.34291135533702
Ccl2	0.477899252012265	11.2711358698071	7.88163269274309	2.68619143239703e-07	0.000204726161311974	7.08853886615648
Dhfr	0.723651145933785	8.05769689753585	7.83008170346197	2.95098373294493e-07	0.000205349976720798	6.99974172621111
Hspa1a	-0.672669865407924	10.2442373842621	-7.83500984899035	2.92453607277546e-07	0.000205349976720798	7.00824773214412
Bcl2a1b	0.590070599016996	10.8696182872276	7.52634169751539	5.17194355354739e-07	0.000205351828855178	6.4684332237142
C1qb	0.924937011566639	10.3285405050269	7.73272436659602	3.5277178451611e-07	0.000205351828855178	6.83095484088089
Cfb	0.374731385818317	11.2737556797217	7.67267952539169	3.94077243952219e-07	0.000205351828855178	6.72614539295246
Clcn7	0.491027848564054	9.163450612773	7.66792492959589	3.97555754377081e-07	0.000205351828855178	6.71782295288934
Degs1	-0.377657397687047	10.9563831193119	-7.60891748837167	4.43480577290218e-07	0.000205351828855178	6.61425279046656
Gpr84	0.704960755541454	7.65970344785776	7.48172127884547	5.6221672823598e-07	0.000205351828855178	6.38920988861833
Hpgd	-0.656804496630676	8.57633272984754	-7.59934145758533	4.51438314824531e-07	0.000205351828855178	6.59739536315395
Hspa1b	-0.541101014184956	11.6760876632884	-7.54522661255025	4.99282673009426e-07	0.000205351828855178	6.50187268194087
Ifit1bl1	0.440103654900658	9.66944925793003	7.52167259492582	5.21724884147926e-07	0.000205351828855178	6.46015735080505
Il1r2	0.454582195083569	9.90946946914249	7.60897796681406	4.43430785030453e-07	0.000205351828855178	6.61435921137461
Inhba	0.858098205273551	6.41398762900569	7.63919705256652	4.19263297021511e-07	0.000205351828855178	6.66746521858142
Mertk	0.904431965985613	7.5424271344394	7.51190981916371	5.31331592633876e-07	0.000205351828855178	6.44284241829199
Mmp14	1.05104161241172	8.71828744279714	7.47951942896551	5.64541110254786e-07	0.000205351828855178	6.38529272293411
Pdlim7	0.585373755019617	7.57981991661238	7.58141440305567	4.66737087389549e-07	0.000205351828855178	6.56579977819688
Pla2g7	0.436576936379678	9.04930551967957	7.49675816128844	5.46606382573216e-07	0.000205351828855178	6.41594141882765
Rpl22	-0.424770642583901	8.86409516903906	-7.55255384385547	4.92507625900326e-07	0.000205351828855178	6.51483248002012
Slc7a8	0.584706366629783	8.44505141990873	7.63748348903902	4.20596410402288e-07	0.000205351828855178	6.66445754302277
Sort1	-0.735939347297811	7.72323153076529	-7.70502331067961	3.71238136169391e-07	0.000205351828855178	6.78266954996064
Spp1	0.997342481433557	10.0878883030128	7.7015019181632	3.73656559397939e-07	0.000205351828855178	6.77652318954284
Stab1	0.900404550829051	7.54618395185161	7.64492480201128	4.14839011175221e-07	0.000205351828855178	6.67751544755865
Thbd	-0.475969013109285	10.2712680730889	-7.50893809828577	5.3429213415689e-07	0.000205351828855178	6.43756901402559
Dab2	1.24972448061769	8.8056103947785	7.42811811324878	6.21734783730604e-07	0.000214230940521709	6.29363971444946
Eeig2	-0.457903807641606	9.3171665511717	-7.4298267328565	6.19740068142233e-07	0.000214230940521709	6.29669275227798
Serpina3f	0.725050757486169	8.62760907755192	7.421852458378	6.29106791910047e-07	0.000214230940521709	6.28244018347175
Ccpg1	-0.535856953083017	9.81837577399086	-7.37445926831479	6.87892099762963e-07	0.000229369022014713	6.19753496237482
Spry2	0.494236718218615	8.52538944907965	7.34201809457516	7.31395790437897e-07	0.000238897747468542	6.13922043723358
Camkk2	-0.470298482599538	8.56897135119375	-7.25595693354605	8.61196732076394e-07	0.000255948593080342	5.98374981711539
Ecm1	0.781323506386408	9.89434521586385	7.27115733657577	8.36641382744941e-07	0.000255948593080342	6.01129104257291
Gadd45b	0.415573637513338	9.28075858404519	7.25451983493305	8.63556640196092e-07	0.000255948593080342	5.98114416560504
Mid1ip1	-0.642215250596416	9.27653515677361	-7.27899443521163	8.24265905810667e-07	0.000255948593080342	6.02547722324593
Tnfrsf11a	0.53503095498762	10.4899161164965	7.28205645651103	8.19482434043329e-07	0.000255948593080342	6.03101735999965
Add3	-0.736342457054524	10.0939683600448	-7.20461982043522	9.49800821243407e-07	0.000276392038981831	5.89047499789597
Gramd4	-0.513970815822386	9.94496741701064	-7.18072916890865	9.94208723532568e-07	0.000284148403931049	5.8469319502602
Syncrip	-0.373385162865468	9.64789100183169	-7.10290283984399	1.1544039670441e-06	0.000324144482325279	5.70448747481345
Aif1	0.371690253739823	11.0379097886788	7.05250952338242	1.27220957284695e-06	0.000325308857738424	5.61176524100335
Cdh1	0.837953086321255	8.60640670190115	7.06164930067051	1.24995286004803e-06	0.000325308857738424	5.62861062209293
Dtnbp1	0.471210366146484	7.5282890308601	7.05219074995175	1.27299320524156e-06	0.000325308857738424	5.61117748718118
Gbp4	0.504819228871165	8.7500828221221	7.04914592715028	1.28050347001067e-06	0.000325308857738424	5.60556267630083
Lpar1	0.565195656274085	8.75095173597562	7.0552737299546	1.26543532337472e-06	0.000325308857738424	5.61686123670558
Myo5a	-0.423842171225935	10.1622023862916	-7.08121164699881	1.20366135693629e-06	0.000325308857738424	5.66462330717581
Cd276	0.655915953450205	8.61838848099379	6.96837053630018	1.49745083730733e-06	0.000366162952416874	5.45609826966997
Iigp1	0.502598195945495	9.5654098655733	6.96546918712922	1.5059175212999e-06	0.000366162952416874	5.45071141136251
Myc	0.690982177929776	7.93369029912299	6.96409317052537	1.50995031924484e-06	0.000366162952416874	5.44815615473757
Abcd2	-0.741665305131023	7.21260964340589	-6.95305183851953	1.54271781844775e-06	0.000368525353496362	5.42764213397329
Cttnbp2nl	0.59143803168504	9.46859035934428	6.94350583992347	1.57164114618847e-06	0.000369913478599213	5.4098915528161
Acp2	0.456175783748805	9.77797323169597	6.93317608804959	1.60357267620382e-06	0.000371959140328148	5.39066815853841
C1qc	1.07669627471667	8.52566092595328	6.87513044562841	1.79593780299121e-06	0.000410628350526776	5.28234855312523
Arhgef6	-0.483086164228773	7.79874001975764	-6.84462816005112	1.90645349069846e-06	0.000424431759963276	5.22522523187272
Prkag2	-0.679290219627198	7.53147731544467	-6.8438545565098	1.90934624913189e-06	0.000424431759963276	5.22377464830524
Fabp3	0.606823854622201	8.04420918990168	6.81961658505389	2.00231989148597e-06	0.00043306932247612	5.17828064487464
Ip6k3	-0.503527584831134	8.51174978590381	-6.82334898753785	1.98770306849905e-06	0.00043306932247612	5.18529199065754
Abca9	-0.849734493105143	7.90581368793987	-6.79675497507537	2.09431190621496e-06	0.000443274583719725	5.13528946196177
Rab7b	0.36512817129614	10.8260092997694	6.79419145007596	2.10489649251479e-06	0.000443274583719725	5.13046388840539
Dusp8	0.576294244904296	7.19194158642769	6.76095016463602	2.24727132690922e-06	0.00046711139723613	5.06780167054229
Apol9b	0.593988430367347	7.45010685217801	6.74737405605758	2.30825178296652e-06	0.000473635510081783	5.04216229513575
Spon1	0.457351322777396	10.3308903397863	6.7170705977758	2.45062325519656e-06	0.000490277814992761	4.98483312855317
St7	0.756384372933856	6.97632332514216	6.71757455759332	2.44818272047156e-06	0.000490277814992761	4.98578765594696
Bcl2a1c	0.697853897633797	9.6787023063286	6.69091478698977	2.58080711129261e-06	0.000503729485563881	4.93524073506703
Rassf3	-0.331784811339235	10.9735128810864	-6.69290965247558	2.57063071501834e-06	0.000503729485563881	4.93902665725204
Arhgef18	-0.560093524550588	9.68549533315087	-6.63993084909737	2.85553719982443e-06	0.000527904182686697	4.83828127002143
Cd38	0.854930667598821	6.73213614656787	6.6503891605483	2.79681406645147e-06	0.000527904182686697	4.85820194295036
Sh3pxd2b	0.669575998316475	8.46026084515914	6.64188161474884	2.8444877454387e-06	0.000527904182686697	4.84199825805755
Socs2	0.672894023327527	6.19448795149701	6.64103023049709	2.84930467683152e-06	0.000527904182686697	4.84037610017144
Stra6l	0.795868164823325	7.51784580069217	6.6374624524297	2.86958224890613e-06	0.000527904182686697	4.83357718047776
Arrb1	-0.665918430641938	7.70752345493792	-6.60110928579897	3.08490663020098e-06	0.000561067393367804	4.76419359657623
Bcl11a	-0.72113043318381	7.93023873727593	-6.57447599280271	3.25321418547768e-06	0.00057487888102	4.71323747201094
Klf4	-0.359092991592089	9.82319135639464	-6.5721124152244	3.2686021976145e-06	0.00057487888102	4.70871030689166
Rgs1	0.920608377897998	10.2449223254273	6.57833323045277	3.22826237361483e-06	0.00057487888102	4.72062380598546
Ass1	0.428809189958356	9.96477643116882	6.52068651466931	3.62270663288278e-06	0.000586875028468283	4.61000634581737
Ccl5	0.388714608371219	11.3288568457565	6.54304167566358	3.46413975160166e-06	0.000586875028468283	4.65296133787019
Cxcl14	0.558454711739179	5.97477219416823	6.52316101414937	3.60479158621e-06	0.000586875028468283	4.61476465724188
