gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gpnmb	2.8156553469545	9.67094250457451	12.81920181788	2.40628861290192e-11	1.69200998608085e-07	15.4759140826792
Lhfpl2	2.74698512802069	8.45531212631589	12.8829301822203	2.19437059772421e-11	1.69200998608085e-07	15.5545505321994
Mmp14	2.67685662307218	7.91557277132859	12.6298018741787	3.17152762151987e-11	1.69200998608085e-07	15.239660438706
Ch25h	2.57461910685865	8.08182251958952	11.9389615116532	8.93000754179505e-11	3.57311926766074e-07	14.3446158035391
Il7r	2.75870764548083	8.70939934583396	11.3860882322703	2.11394349178268e-10	6.76673311719635e-07	13.5889075746768
Spint1	3.00419238111847	8.71396567730204	11.0563403470324	3.58709403883966e-10	9.5685733486048e-07	13.1206692747886
C1qa	3.390275467408	8.25132251081939	10.7255928916258	6.16764539094159e-10	1.41018806402886e-06	12.6373761971068
Igf2r	2.78194625404161	8.85541910074716	10.3481669969028	1.16165780093145e-09	2.32404163798849e-06	12.0686805940232
Cd63	2.81451408924609	7.9679980866195	10.1789310396618	1.55107246270303e-09	2.75832386284023e-06	11.8075796752728
Clec4n	1.58260002662454	8.87611636256588	10.0525294544008	1.92903875327639e-09	3.08742652461886e-06	11.610054942699
Cxcl16	2.08453384247978	9.10828646294559	9.62871149651857	4.06296511194505e-09	4.64483975833433e-06	10.9318085755809
Dab2	2.98288246737946	8.10446049245453	9.64469295359252	3.94889480919576e-09	4.64483975833433e-06	10.9578360719367
Lrp12	1.97622475049006	10.91692547063	9.7138047983322	3.49257649656807e-09	4.64483975833433e-06	11.0699808553927
Rai14	2.07782815071214	8.64258743756439	9.64239122346937	3.96511670206088e-09	4.64483975833433e-06	10.9540896657367
Bcl2a1b	1.39441556923323	10.5956562621449	9.58406225414298	4.40014224424357e-09	4.69495177460789e-06	10.8589026983239
C3ar1	2.09102715100121	10.1183212051329	9.51721312008975	4.96022845479146e-09	4.96177852618358e-06	10.7492232603139
Ccl7	2.08209035005307	8.32017394660023	9.42582458680968	5.84818087693604e-09	5.50589029031537e-06	10.5982600604366
Cd72	2.73200702246143	8.35180663993831	9.23245497115252	8.3141867175188e-09	7.39269768966047e-06	10.2749142043659
Slamf9	2.16608664321163	9.90629195973736	9.13910454883821	9.86975754393259e-09	8.31397207845479e-06	10.116895142077
Ms4a7	2.23448468552105	9.07914608418441	8.98566811443385	1.3115048210042e-08	1.04953173300861e-05	9.85442224445223
Saa3	2.21671216412486	8.39004919421117	8.73902496410348	2.08427021193359e-08	1.58851165438081e-05	9.42529247816739
Hs3st3b1	1.85951638250892	8.57799667658217	8.64731514235677	2.48099397297749e-08	1.80492311534112e-05	9.26344028298596
Egr2	2.01380409498664	10.3179516709438	8.61496644029941	2.63894303599706e-08	1.83636014309274e-05	9.20605270496063
Mdfic	1.54387969100302	10.6880564994774	8.34346072397699	4.45384827035102e-08	2.85135366267873e-05	8.71824142255968
Pdcd1lg2	2.4980586554427	6.204922782517	8.35508590465762	4.35428506544771e-08	2.85135366267873e-05	8.73935436525066
Ptms	1.74441387772644	7.87848263560188	8.28726120151894	4.96947142123818e-08	3.0590919268045e-05	8.61588895966332
C1qc	2.54050456154388	7.80532142081098	8.26236817561719	5.21723957093322e-08	3.09266367899208e-05	8.57040116971306
Ffar2	2.15351272660943	7.46211877192972	8.12533355323733	6.82968612866353e-08	3.90389737461642e-05	8.31832199498493
Cd200r4	2.70601325285404	8.3777498082601	8.05914976673037	7.78532149805133e-08	4.15346901921038e-05	8.19555999777028
Sdc4	2.05851746545719	9.60404577525335	8.0621572552827	7.73903023888562e-08	4.15346901921038e-05	8.2011528414618
Ncapg2	2.03355775360292	8.47483330996415	7.99407056134486	8.86033302685372e-08	4.57450419660625e-05	8.07420106664347
Gatm	2.11894855246552	9.82261989299917	7.57525480819265	2.06462379156517e-07	0.000103263449325002	7.27785165207335
Fblim1	2.58223943485142	6.63582510813302	7.50077037718967	2.40575159141825e-07	0.000116678952183785	7.13344270463757
Flrt3	2.06690858272711	8.32183448264201	7.3283291442452	3.43748901784215e-07	0.000160463600718476	6.79590351272223
Spp1	2.36135047740103	9.20777630629062	7.31843271654765	3.50904468925127e-07	0.000160463600718476	6.77639623486874
Rgs1	2.11221255756186	9.61885389289282	7.26194389303684	3.94794419531067e-07	0.00017551901901652	6.6647671392673
Bcl2a1a	1.49313452335883	8.37339840482213	7.23384047523415	4.1870058302697e-07	0.000181116292739099	6.60905297715651
