gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ch25h	2.83583066328324	8.08182251958952	13.1502454294353	1.49641635612129e-11	1.64526036823175e-07	16.0660361165316
Mmp14	2.68090860799611	7.91557277132859	12.6489197329184	3.08389947184959e-11	1.64526036823175e-07	15.433184068125
Saa3	3.25664647441545	8.39004919421117	12.838795807489	2.33895049768721e-11	1.64526036823175e-07	15.6759564271146
Ccl7	2.65704778534305	8.32017394660023	12.0287125593644	7.78637037689917e-11	3.04511952635669e-07	14.6130742297736
Hs3st3b1	2.5584811417608	8.57799667658217	11.8977132585044	9.5130256993336e-11	3.04511952635669e-07	14.4343799893682
Spint1	3.15565927772461	8.71396567730204	11.6137845276088	1.47691780700359e-10	3.93967825018207e-07	14.0403128471029
Clec4n	1.77743282798164	8.87611636256588	11.2900894451604	2.46288049079787e-10	5.63120032217426e-07	13.5795024658021
Dab2	3.34764614832837	8.10446049245453	10.82410036969	5.24179474823599e-10	1.04868656181896e-06	12.8938023653072
Bcl2a1d	2.18301168179017	9.31407390597061	10.404312107777	1.05617915311206e-09	1.87823859395095e-06	12.2527211944139
Ccl12	1.83695259079044	10.0042544999402	10.3414367645289	1.17501714911308e-09	1.88061494715549e-06	12.1547422560715
Bcl2a1b	1.4589502247856	10.5956562621449	10.0276202364335	2.01418659019165e-09	2.93064148872885e-06	11.657924495362
Il7r	2.33308222735016	8.70939934583396	9.62939300120019	4.05803160996224e-09	5.41239965978713e-06	11.0083930250144
Foxred2	-1.56410198008796	8.65203401572311	-9.54294792476203	4.73632984072766e-09	5.8311507000651e-06	10.8645209721837
Rai14	2.02582377790823	8.64258743756439	9.4010591827351	6.11615247772371e-09	6.99207288614057e-06	10.6261171198354
Sdc4	2.38993717104922	9.60404577525335	9.36015828214741	6.58695618325946e-09	7.02828224753785e-06	10.556871032997
Gpnmb	2.04756596496688	9.67094250457451	9.32222097733782	7.05728624339073e-09	7.05949164534179e-06	10.4924318640837
Mmp12	3.54149000104657	6.71110056401933	9.1740445120036	9.25489695225169e-09	8.71321327769343e-06	10.2387934965435
Igf2r	2.45338617234504	8.85541910074716	9.1260029852967	1.01111013164712e-08	8.99045425389565e-06	10.1558894660705
Cish	1.80881009902993	9.02657806769785	9.01514172449976	1.24151983630249e-08	1.00704510039679e-05	9.96331974162526
Lhfpl2	1.92071920865313	8.45531212631589	9.00787238064046	1.25841312139555e-08	1.00704510039679e-05	9.95063106868066
Egr2	2.0768525027997	10.3179516709438	8.88468479015085	1.58391879919368e-08	1.20717239909976e-05	9.73444908500518
Cx3cr1	-2.54885087520163	8.64381494148449	-8.80162013395486	1.85172171337957e-08	1.34712754648364e-05	9.58744034311096
Ffar2	2.32498502202471	7.46211877192972	8.77230887786519	1.95707403672925e-08	1.36186825903703e-05	9.53532590127881
Cdh1	2.48622334965132	8.3077527705869	8.70096571719013	2.24026939756027e-08	1.43422046831808e-05	9.40795743375189
Lrp12	1.77279974663353	10.91692547063	8.71390295109933	2.18592786230855e-08	1.43422046831808e-05	9.43110926461897
Gca	2.1065141736109	8.18200202915448	8.6217728814956	2.60486528640325e-08	1.54423807021192e-05	9.26570490131603
Hpgd	-1.77587305454381	9.00630576577626	-8.62172816924515	2.60508765359087e-08	1.54423807021192e-05	9.26562432643275
Cxcl16	1.85975427282163	9.10828646294559	8.59042774096427	2.76568193782979e-08	1.58088355053449e-05	9.20914669348087
Schip1	1.99935655996013	7.75990532292726	8.48380081519256	3.3940629105366e-08	1.87317161665994e-05	9.01567262149691
Bcl2a1c	1.98403284119641	9.34259106379595	8.44732577856207	3.64153799038964e-08	1.94276051787287e-05	8.94910489853292
Cd276	1.79901856996366	7.91546825284681	8.39780635508074	4.0077597960577e-08	2.06916759793237e-05	8.85841694178094
Serpina3g	2.00653559630751	10.8301948573968	8.33335791342943	4.54228588818772e-08	2.27185267626389e-05	8.7398461521671
Bcl2a1a	1.71035376939772	8.37339840482213	8.28621007048079	4.97968346453913e-08	2.34411276029261e-05	8.65271542696111
Cd63	2.29279207542117	7.9679980866195	8.29207873329445	4.92294416970279e-08	2.34411276029261e-05	8.6635788413835
Cd38	2.57489421269851	6.34465349702404	8.26036893303222	5.23768515816351e-08	2.39511859875449e-05	8.60482048062465
Akap12	1.41797731973369	8.59197504545711	8.22780470635002	5.58263346409983e-08	2.48194579424772e-05	8.54432370695804
Arg1	3.80840103969985	7.22897037912655	8.17387696578446	6.20647539945102e-08	2.60643022148479e-05	8.44379237926636
Rgl1	1.86641308738111	8.03315453746939	8.18589598663342	6.06145783159536e-08	2.60643022148479e-05	8.46623546476295
Spp1	2.63358877627746	9.20777630629062	8.16216925301782	6.35118891833221e-08	2.60643022148479e-05	8.42190996422405
Zbtb5	1.32740635865486	8.19755936479827	8.07645344141198	7.52284324516478e-08	3.01007765347156e-05	8.26108123106912
